[Heroes Archive] (Data_602_legend09)


Heroes Message Name: Message


MDAID_アスクの髪飾り・金: 亞斯克的髮飾・金
MDAID_H_アスクの髪飾り・金: 戰勝傳承英雄琪姬的證明。
MDAID_謎の男のマスク・金: 謎樣男子的面具・金
MDAID_H_謎の男のマスク・金: 戰勝傳承英雄海克托爾的證明。
MID_MISSION_M201810A_TITLE: １０月任務Ａ
MID_MISSION_M201810A_A1: 以綠屬性擊敗敵人
MID_MISSION_H_M201810A_A1: 以綠屬性的我方擊敗敵人。
MID_MISSION_M201810A_A2: 以騎馬擊敗敵人
MID_MISSION_H_M201810A_A2: 以騎馬的我方擊敗敵人。
MID_MISSION_M201810A_A3: 擊敗赤屬性
MID_MISSION_H_M201810A_A3: 擊敗赤屬性的敵人。
MID_MISSION_M201810A_A4: 擊敗步行
MID_MISSION_H_M201810A_A4: 擊敗步行的敵人。
MID_MISSION_M201810A_A5: 在鬥技場獲勝
MID_MISSION_H_M201810A_A5: 在鬥技場獲勝。
MID_MISSION_M201810A_A6: 以青屬性擊敗LV20以上
MID_MISSION_H_M201810A_A6: 以青屬性的我方\n擊敗等級20以上的敵人。
MID_MISSION_M201810A_A7: 以步行擊敗LV20以上
MID_MISSION_H_M201810A_A7: 以步行的我方\n擊敗等級20以上的敵人。
MID_MISSION_M201810A_A8: 擊敗LV20以上的綠屬性
MID_MISSION_H_M201810A_A8: 擊敗等級20以上綠屬性的敵人。
MID_MISSION_M201810A_A9: 擊敗LV20以上的騎馬
MID_MISSION_H_M201810A_A9: 擊敗等級20以上騎馬的敵人。
MID_MISSION_M201810A_A10: 在鬥技場(中級以上)獲勝
MID_MISSION_H_M201810A_A10: 在鬥技場(中級以上)獲勝。
MID_MISSION_M201810A_A11: 以赤屬性擊敗LV35以上
MID_MISSION_H_M201810A_A11: 以赤屬性的我方\n擊敗等級35以上的敵人。
MID_MISSION_M201810A_A12: 以飛行擊敗LV35以上
MID_MISSION_H_M201810A_A12: 以飛行的我方\n擊敗等級35以上的敵人。
MID_MISSION_M201810A_A13: 擊敗LV35以上的青屬性
MID_MISSION_H_M201810A_A13: 擊敗等級35以上青屬性的敵人。
MID_MISSION_M201810A_A14: 擊敗LV35以上的飛行
MID_MISSION_H_M201810A_A14: 擊敗等級35以上飛行的敵人。
MID_MISSION_M201810A_A15: 在鬥技場(上級)獲勝
MID_MISSION_H_M201810A_A15: 在鬥技場(上級)獲勝。
MID_MISSION_M201810B_TITLE: １０月任務Ｂ
MID_MISSION_M201810B_A1: 特殊:突破修練之塔・第1層
MID_MISSION_H_M201810B_A1: 在4人皆生存的狀態下\n過關修練之塔・第1層。
MID_MISSION_M201810B_A2: 特殊:突破修練之塔・第2層
MID_MISSION_H_M201810B_A2: 在4人皆生存的狀態下\n過關修練之塔・第2層。
MID_MISSION_M201810B_A3: 特殊:突破修練之塔・第3層
MID_MISSION_H_M201810B_A3: 在4人皆生存的狀態下\n過關修練之塔・第3層。
MID_MISSION_M201810B_A4: 特殊:突破修練之塔・第4層
MID_MISSION_H_M201810B_A4: 在4人皆生存的狀態下\n過關修練之塔・第4層。
MID_MISSION_M201810B_A5: 特殊:突破修練之塔・第5層
MID_MISSION_H_M201810B_A5: 在4人皆生存的狀態下\n過關修練之塔・第5層。
MID_MISSION_M201810B_A6: 特殊:突破修練之塔・第6層
MID_MISSION_H_M201810B_A6: 在4人皆生存的狀態下\n過關修練之塔・第6層。
MID_MISSION_M201810B_A7: 特殊:突破修練之塔・第7層
MID_MISSION_H_M201810B_A7: 在4人皆生存的狀態下\n過關修練之塔・第7層。
MID_MISSION_M201810B_A8: 特殊:突破修練之塔・第8層
MID_MISSION_H_M201810B_A8: 在4人皆生存的狀態下\n過關修練之塔・第8層。
MID_MISSION_M201810B_A9: 特殊:突破修練之塔・第9層
MID_MISSION_H_M201810B_A9: 在4人皆生存的狀態下\n過關修練之塔・第9層。
MID_MISSION_M201810B_A10: 特殊:突破修練之塔・第10層
MID_MISSION_H_M201810B_A10: 在4人皆生存的狀態下\n過關修練之塔・第10層。
MID_MISSION_M201810B_A11: 特殊:突破修練之塔・第10層
MID_MISSION_H_M201810B_A11: 我軍全員為步行，\n在4人皆生存的狀態下\n過關修練之塔・第10層。
MID_MISSION_M201810B_A12: 特殊:突破修練之塔・第10層
MID_MISSION_H_M201810B_A12: 我軍全員為重裝，\n在4人皆生存的狀態下\n過關修練之塔・第10層。
MID_MISSION_M201810B_A13: 特殊:突破修練之塔・第10層
