[Heroes Archive] (MYRRH)


Heroes Message Name: Message


MID_MYRRH_HOME1: 父親……哥哥……\n我好想你們……
MID_MYRRH_HOME2: 我所生長的闇之樹海\n曾是一個幽靜而祥和的地方。\n直到那天來臨以前……
MID_MYRRH_HOME3: $Nu殿下，\n你還好吧？沒……沒事，\n總覺得你看起來十分悲傷……
MID_MYRRH_HOME4: 那個……我想拜託你一件事。\n可以陪我……一起睡午覺嗎？\n一個人睡的話，感覺有點寂寞……
MID_MYRRH_HOME5: 我仰望了這片天空。\n這片美麗的湛藍色……\n是否會一直延伸到故鄉的那片樹海呢？
MID_MYRRH_FRIEND: 我是梅爾。\n從$Nf殿下的城裡\n前來向你致意。那個……請多多指教。\n
MID_MYRRH_LEVEL1: 那個……可以誇獎我一下嗎？\n不過……摸頭就不必了……
MID_MYRRH_LEVEL2: 我還要更加努力……
MID_MYRRH_LEVEL3: 嗯……\n有什麼改變了嗎……
MID_MYRRH_SKILL: 這股力量是人類的嗎？\n……還是魔之力量……
MID_MYRRH_JOIN: 我叫梅爾，來自闇之樹海。\n艾夫拉姆說過，問女生年紀是很失禮的事……\n你真沒禮貌。
MID_MYRRH_STRONGEST: $Nu殿下，\n你一直為我的事情操心呢……\n我……我真的沒事啦……$k$p人生在世，會哭泣、會歡笑、\n也有一天終會死去……\n這幾百年來，我已經閱盡人間無數。$k$p我們龍人族，是人也是魔。\n正因如此，我們無法融入任何一方……\n我曾為此感到傷心。$k$p現在，我卻覺得這何嘗不是幸事。\n我可以看盡所有人生命的盡頭，\n並帶著他們的回憶一起活下去。$k$p我非常喜歡你喔。\n喜歡你那比誰都還要認真的樣子。\n我會一直一直，把你記在我的腦海中。
MID_MYRRH_VOICE01: 嘿！
MID_MYRRH_VOICE02: 看招！
MID_MYRRH_VOICE03: 呀啊啊！
MID_MYRRH_VOICE04: 不行……
MID_MYRRH_VOICE05: 我是龍！
MID_MYRRH_VOICE06: 為人類而戰！
MID_MYRRH_VOICE07: 讓我來守護！
MID_MYRRH_VOICE08: 我不會輸的！
MID_MYRRH_VOICE09: 對不起……我已經……
MID_MYRRH_VOICE10: 呵呵……
MID_MYRRH_VOICE11: 我是梅爾。我追逐著不詳的氣息，而離開了家裡……
MID_MYRRH_VOICE12: 呀啊！？……讓女孩子受驚嚇是很沒禮貌的。
MID_MYRRH_VOICE13: 這塊石頭是很重要的東西。必須小心保管，以免弄丟。
MID_MYRRH_VOICE14: 有時在戰鬥中……即使是好人也必須打倒……
MID_MYRRH_VOICE15: 看到你和別人在一起……不知道為什麼我會感到很難受。
MID_MYRRH_VOICE16: 難道說……這種感覺就是……戀愛？
MID_MYRRH_VOICE17: 告訴我。我是不是……愛上你了呢？
MID_MYRRH_VOICE18: 是。
MID_MYRRH_VOICE19: 是這裡嗎？
MID_MYRRH_VOICE20: 是那裡。
