[Heroes Archive] (EIRIK2)


Heroes Message Name: Message


MID_EIRIK2_HOME1: 我、哥哥還有利昂，\n過去一路上彼此教學相長。\n我魔道的基礎也是向利昂學習的。
MID_EIRIK2_HOME2: 哥哥擁有優異的戰鬥天份，\n利昂則是在魔道方面表現突出。\n我從他們兩人身上學到了許多。
MID_EIRIK2_HOME3: 雖然世人對闇魔道的印象不太好……\n但據說本來闇魔道並非邪惡之物。
MID_EIRIK2_HOME4: 哥哥……利昂……\n若是在此處，\n我們能像昔日那般一同歡笑嗎？
MID_EIRIK2_HOME5: 我剛剛在讀魔道書。\n呵呵，這令我想起哥哥不喜歡讀書……\n他好像覺得讀書這件事相當地無聊。
MID_EIRIK2_FRIEND: 我代替$Nf殿下\n來向您打招呼……呀啊！？\n對、對不起……您沒有受傷吧？
MID_EIRIK2_LEVEL1: 希望多少能為哥哥盡一份綿薄之力……
MID_EIRIK2_LEVEL2: 不論騎馬還是魔道，\n都須仰賴平日的訓練。
MID_EIRIK2_LEVEL3: 呀啊！？對、對不起……\n我差點從馬背上摔下來……
MID_EIRIK2_SKILL: 非常感謝你。\n請一定要讓我向你致謝。
MID_EIRIK2_JOIN: 我叫做艾莉可。\n希望我習得的魔道\n能多少助你一臂之力……
MID_EIRIK2_STRONGEST: ……在原本的世界裡，\n我有一位非常重要的摯友。$k$p哥哥、利昂和我……\n一同度過的那些日子與歡笑，\n要是能化為永恆就好了。$k$p宛如童話故事般天長地久的幸福，\n會抱著這種願望，\n或許是我心智還不夠成熟吧。$k$p但跟你相處的這段時間，\n讓我不禁湧現了這個念頭……\n希望這份幸福能夠永遠持續下去……$k$p即使無法實現，\n哪怕只能多一秒都好，我也想陪在你身邊。\n這就是我最真實的心聲……
MID_EIRIK2_VOICE01: 看招！
MID_EIRIK2_VOICE02: 我要上了！
MID_EIRIK2_VOICE03: 呀啊啊啊！
MID_EIRIK2_VOICE04: 再這樣下去的話……
MID_EIRIK2_VOICE05: 讓你見識魔道的力量！
MID_EIRIK2_VOICE06: 這段距離的話！
MID_EIRIK2_VOICE07: 就像利昂一樣。
MID_EIRIK2_VOICE08: 竭盡我全部所學。
MID_EIRIK2_VOICE09: 對不起……哥哥……
MID_EIRIK2_VOICE10: 嗯……
MID_EIRIK2_VOICE11: 若靠得太近，魔道就派不上用場了。必須小心才行……
MID_EIRIK2_VOICE12: 呀啊！？嗯……避免被敵人靠近的……訓練？
MID_EIRIK2_VOICE13: 和使劍完全不同，這種戰鬥方式對我來說……是第一次。
MID_EIRIK2_VOICE14: 我的朋友利昂，他對於魔道相當拿手唷。
MID_EIRIK2_VOICE15: 哥哥啊……他對魔道可是一竅不通呢……
MID_EIRIK2_VOICE16: 利昂……哥哥……如果我們能再回到從前的話……
MID_EIRIK2_VOICE17: 我會更加努力鑽研魔道……希望能助你一臂之力。
MID_EIRIK2_VOICE18: 請下達命令。
MID_EIRIK2_VOICE19: 該怎麼做呢？
MID_EIRIK2_VOICE20: 我有點緊張……
