[Heroes Archive] (SHEEDA)


Heroes Message Name: Message


MID_SHEEDA_HOME1: 啊、你好。\n你有看到馬爾斯殿下嗎？
MID_SHEEDA_HOME2: 雖然我的身分算是個公主，\n但塔利斯只是個小島國……\n不是什麼了不起的大人物哦。
MID_SHEEDA_HOME3: 你好像總是很忙……\n如果有什麼我幫得上忙的地方，\n儘管跟我說喔！
MID_SHEEDA_HOME4: 即使現在是敵對的人，\n總有一天也能成為好友的。\n如果成真的話就太幸福了，不是嗎？
MID_SHEEDA_HOME5: 呵呵！我的廚藝還不錯喔。\n熱呼呼的燉菜，\n要不要嘗一口試試看？
MID_SHEEDA_FRIEND: $Nf\n託我來向你致意。\n他說因為你是很重要的朋友。
MID_SHEEDA_LEVEL1: 我也是可以……\n變得這麼強大的！
MID_SHEEDA_LEVEL2: 這樣是不是就能\n幫上更多忙了呢？
MID_SHEEDA_LEVEL3: 對不起。\n我今天狀況好像不太好……
MID_SHEEDA_SKILL: 這股新的力量……\n我一定會讓它派上用場的。
MID_SHEEDA_JOIN: 我是塔利斯的公主希達。\n啊，別看我這樣，\n我也是天馬騎士喔。
MID_SHEEDA_STRONGEST: 你真的很強大呢。\n因為我的力量不夠……\n總是受到他人的保護，所以……$k$p一直都很羨慕你，\n希望能像你那樣強大……\n不過……$k$p你真正的強大之處在於心靈。\n是能夠信任夥伴的堅強信念。$k$p我想繼續待在你身邊，\n學習你的堅強。\n……可以嗎？$k$p呵呵！謝謝你。\n那就讓我在你身邊學習吧？
MID_SHEEDA_VOICE01: 喝！
MID_SHEEDA_VOICE02: 嘿！
MID_SHEEDA_VOICE03: 呀啊～！
MID_SHEEDA_VOICE04: 我怎麼可能會輸……
MID_SHEEDA_VOICE05: 放下武器！
MID_SHEEDA_VOICE06: 拜託閃開吧！
MID_SHEEDA_VOICE07: 我也辦得到！
MID_SHEEDA_VOICE08: 我不想傷人！
MID_SHEEDA_VOICE09: 不行……了嗎……？
MID_SHEEDA_VOICE10: 呵呵！
MID_SHEEDA_VOICE11: 怎麼了？有什麼事嗎？
MID_SHEEDA_VOICE12: 呀！……討厭，別捉弄我啦。
MID_SHEEDA_VOICE13: 你真的很溫柔呢。
MID_SHEEDA_VOICE14: 你相信愛嗎？
MID_SHEEDA_VOICE15: 很高興可以跟你聊聊。
MID_SHEEDA_VOICE16: 我會很男人婆嗎……？
MID_SHEEDA_VOICE17: 今後也要待在我身邊喔。
MID_SHEEDA_VOICE18: 我知道了。
MID_SHEEDA_VOICE19: 該怎麼做呢？
MID_SHEEDA_VOICE20: 我們走吧。
