[Heroes Archive] (QULYF)


Heroes Message Name: Message


MID_QULYF_HOME1: 來自不同文明的英雄齊聚一堂……\n有點令人興奮呢。\n只有一點點而已啦。
MID_QULYF_HOME2: 我已經過膩了在村子裡的生活。\n所以當阿雷武邀請我加入解放軍時，\n我就覺得這說不定是個好機會。
MID_QULYF_HOME3: 召喚師真是有趣的工作耶……\n我幫你代一天班吧？\n沒有啦～開玩笑的。
MID_QULYF_HOME4: 在圖書館也待得有點膩了，\n你可以帶我逛一下城堡，認識環境嗎？\n只要有你在，不管去哪裡都不會被罵吧？
MID_QULYF_HOME5: 我一直都有把在這裡的生活記錄下來。\n雖然不曉得回到原本的世界時，\n會不會有人相信我……
MID_QULYF_FRIEND: $Nf\n要我來打個招呼，所以我才過來。\n我可以回去了嗎？
MID_QULYF_LEVEL1: 欸……出乎意料的厲害呢。\n沒想到我竟然有這種力量。
MID_QULYF_LEVEL2: 唉，事情就是這樣，\n別抱怨啦。
MID_QULYF_LEVEL3: ……什麼嘛，真無聊。
MID_QULYF_SKILL: 這力量感覺真有趣……\n好，我就為了你使用它吧。
MID_QULYF_JOIN: 我的名字是克里夫。嗯……\n這裡感覺挺有趣的嘛，\n別讓我感到無聊喔。
MID_QULYF_STRONGEST: 啊，$Nu，\n其實沒有什麼重要的事……\n但現在可以和我聊聊嗎？$k$p我常常被朋友說態度很差，\n你覺得會嗎？\n果然不太好啊……$k$p我總是會莫名感到很心煩，\n可能因為我還是小孩子，\n沒什麼自由的關係吧。$k$p啊～好想趕快長大喔。\n我的夢想是長大後離開村子，\n一個人去旅行，不過這是秘密喔。$k$p嗯哼……等我可以自由來去任何地方時，\n我也會來找你的，\n你要好好地等我喔？
MID_QULYF_VOICE01: 吼呀～！
MID_QULYF_VOICE02: 要上囉……
MID_QULYF_VOICE03: 嗚哇～！
MID_QULYF_VOICE04: 真令人火大……
MID_QULYF_VOICE05: 這樣如何？
MID_QULYF_VOICE06: 我來陪你玩玩吧。
MID_QULYF_VOICE07: 看來也沒什麼嘛。
MID_QULYF_VOICE08: 消失吧！
MID_QULYF_VOICE09: ちぇっ、ここまでか…
MID_QULYF_VOICE10: ふふっ
MID_QULYF_VOICE11: 僕はクリフ。みんなと一緒に解放軍で戦ってるんだ。ま、いろいろあってさ。
MID_QULYF_VOICE12: うわっ！　もう…ロビンみたいなことしないでよ。ヒマなら勉強でもしたら？
MID_QULYF_VOICE13: 町の学校に通ってたんだけど、今は戦争で休みなんだ。あーあ、つまんないな…
MID_QULYF_VOICE14: 君がいた世界の話、ちょっと信じられないんだけど…からかってるんじゃないよね？
MID_QULYF_VOICE15: 村の友達はすぐ僕を子供扱いするんだ。失礼だよね。
MID_QULYF_VOICE16: もっと広い世界をこの目で見たいんだ。たとえみんなに会えなくなっても……
MID_QULYF_VOICE17: 君といると退屈しないんだよね。これからももっと僕を驚かせてよ。約束だよ？
MID_QULYF_VOICE18: いいかもね
MID_QULYF_VOICE19: ふーん…
MID_QULYF_VOICE20: 片づけてあげる
