[Heroes Archive] (CELICE)


Heroes Message Name: Message


MID_CELICE_HOME1: 「去理解人們的悲傷，\n　真相並非只有一個。」\n這是父親大人給我的教誨……
MID_CELICE_HOME2: 你就是阿爾馮斯王子的軍師嗎？\n我也有位軍師，\n所以很能理解軍師的可貴。
MID_CELICE_HOME3: 身為拯救世界的救世主，\n能獲得人們支持是件幸福的事。\n不過，人們的期待有時也會令我畏懼。
MID_CELICE_HOME4: 你也害怕戰爭嗎？\n……老實說，我也一樣。\n有時甚至還會擔心得睡不著覺。
MID_CELICE_HOME5: 為了幫助大家，\n我必須變得像父親大人一樣強……\n所以我也會努力鍛鍊的。
MID_CELICE_FRIEND: 我叫做賽列斯。\n對$Nf和我來說，\n你是位相當重要的好友。
MID_CELICE_LEVEL1: 我再也不會感到畏懼了。
MID_CELICE_LEVEL2: 能變強真是一件開心的事。\n我總有一天要像父親大人一樣……
MID_CELICE_LEVEL3: 嗯……在我的能力範圍之內，\n我會全力以赴試試看的。
MID_CELICE_SKILL: 謝謝你。\n好像全身都湧出力量了呢。
MID_CELICE_JOIN: 我的名字是賽列斯，繼承了抱憾而終的父親\n西格爾特的遺志……\n背負著對抗黑暗的使命。
MID_CELICE_STRONGEST: 人們都稱我為傳說的英雄\n或是救世主，可是……\n這卻讓我覺得愧對大家。$k$p如你所知，\n我根本配不上救世主這個名號……\n只是個怯懦膽小的人類。$k$p人們的期待……肩上背負的使命……\n我好幾次想著要拋下這一切，\n逃到天涯海角去。$k$p即使如此，我還是要戰鬥。\n因為我有了不起的夥伴陪在身邊，\n那個人就是你。$k$p希望你能幫助我。\n我需要你在我身邊。\n無論是過去，還是未來……
MID_CELICE_VOICE01: 喝！
MID_CELICE_VOICE02: 嘿！
MID_CELICE_VOICE03: 嗚啊～！
MID_CELICE_VOICE04: 還、還沒……！
MID_CELICE_VOICE05: 我要變強！
MID_CELICE_VOICE06: 絕不放棄！
MID_CELICE_VOICE07: 我要守護大家！
MID_CELICE_VOICE08: 直到最後一刻！
MID_CELICE_VOICE09: 父親大人……
MID_CELICE_VOICE10: 呵呵。
MID_CELICE_VOICE11: 有什麼事情讓你在意的嗎？
MID_CELICE_VOICE12: 哇！你怎麼突然這樣？
MID_CELICE_VOICE13: 其實我還沒這麼厲害就是了。
MID_CELICE_VOICE14: 戰事拖了這麼久，你是不是累了？
MID_CELICE_VOICE15: 下次我們一起上街逛逛吧。
MID_CELICE_VOICE16: 總有一天，我也要像父親大人一樣……
MID_CELICE_VOICE17: 我要努力變強，這樣才能夠守護你。
MID_CELICE_VOICE18: 我知道了。
MID_CELICE_VOICE19: 該怎麼做呢？
MID_CELICE_VOICE20: 走吧！
