[Heroes Archive] (NINIAN_BRIDE02)


Heroes Message Name: Message


MID_NINIAN_BRIDE02_HOME1: 在我出生之前……\n我的父親與母親……\n是不是也舉辦了結婚典禮呢？
MID_NINIAN_BRIDE02_HOME2: 以前和弟弟一起旅行的時候，\n曾經在村莊中看過結婚典禮。\n但從沒想到自己竟然會穿上這件衣服……
MID_NINIAN_BRIDE02_HOME3: 我對風俗習慣不是很了解，\n但穿著這身新娘禮服跳舞的話，\n不知道會不會有問題……？
MID_NINIAN_BRIDE02_HOME4: 在婚禮上，男女會宣誓永恆的愛，\n然後進行誓約之吻……\n那也就是說……
MID_NINIAN_BRIDE02_HOME5: 您累了嗎？\n如果不嫌棄的話，\n請您看看我的舞蹈……
MID_NINIAN_BRIDE02_FRIEND: 我替$Nf殿下\n傳遞信件而來。\n非常抱歉……打扮成這樣子……
MID_NINIAN_BRIDE02_LEVEL1: 這份力量……\n是為最重要的那個人……
MID_NINIAN_BRIDE02_LEVEL2: 為了讓周圍的人都能獲得幸福……\n我會加油的。
MID_NINIAN_BRIDE02_LEVEL3: 我是不是不適合這件禮服呢……
MID_NINIAN_BRIDE02_SKILL: 非常謝謝您……\n我會努力用新的力量幫上忙的。
MID_NINIAN_BRIDE02_JOIN: 我叫做尼尼安。\n現在因為新娘祭典打扮成這樣……\n真是難為情呀……
MID_NINIAN_BRIDE02_STRONGEST: ……以前，\n我曾在順道經過的村莊中看過結婚典禮。\n不論男女，看起來都非常幸福……$k$p還記得看著那位女性的笑容時，\n就連我也開始感到幸福。$k$p像那樣身為人的幸福，對我來說……\n但是，只要穿著這件禮服……\n就好像……能做個短暫的美夢。$k$p咦？說得也是呢……\n總有一天我也能……不是在夢中……\n而是真的能露出那樣的笑容也說不定……$k$p非常謝謝您……\n$Nu殿下……
MID_NINIAN_BRIDE02_VOICE01: 看招！
MID_NINIAN_BRIDE02_VOICE02: 我要上了。
MID_NINIAN_BRIDE02_VOICE03: 呀啊～！
MID_NINIAN_BRIDE02_VOICE04: 不行……
MID_NINIAN_BRIDE02_VOICE05: 這就是……愛……
MID_NINIAN_BRIDE02_VOICE06: 想要一起活下去！
MID_NINIAN_BRIDE02_VOICE07: 即便是無法實現的願望！
MID_NINIAN_BRIDE02_VOICE08: 在此宣誓。
MID_NINIAN_BRIDE02_VOICE09: ドレスが…破れて…
MID_NINIAN_BRIDE02_VOICE10: あの…
MID_NINIAN_BRIDE02_VOICE11: 尽くします
MID_NINIAN_BRIDE02_VOICE12: 妻のつとめです
MID_NINIAN_BRIDE02_VOICE13: きゃっ！？　え…ドレスの裾が…？
MID_NINIAN_BRIDE02_VOICE14: わたしがこんな格好…おかしくないでしょうか…？
MID_NINIAN_BRIDE02_VOICE15: え…？　似合って…ますか？　ありがとうございます。
MID_NINIAN_BRIDE02_VOICE16: 人と竜が結ばれる…いつか、そんな世界が…
MID_NINIAN_BRIDE02_VOICE17: 今は花嫁として…夫に尽くします。
MID_NINIAN_BRIDE02_VOICE18: はい、あなた…
MID_NINIAN_BRIDE02_VOICE19: どうか末永く
MID_NINIAN_BRIDE02_VOICE20: 幸せにしてください
