[Heroes Archive] (ETHLIN)


Heroes Message Name: Message


MID_ETHLIN_HOME1: ……哥哥大人、迪雅朵拉殿下……\n我剛剛想起了那段美好又溫暖的時光……
MID_ETHLIN_HOME2: 喂～好好注意你的儀容。\n真是的，你跟喬安還有哥哥大人一樣，\n都很不在意這方面的事呢……
MID_ETHLIN_HOME3: 不管是誰都需要放鬆的。\n我們在這邊稍微休息一會兒吧。\n等我一下，我來泡個茶。
MID_ETHLIN_HOME4: 阿爾緹娜……里弗……\n你們就由我來守護……
MID_ETHLIN_HOME5: 我剛剛在修補衣服。\n啊，你的上衣……肩膀的縫線鬆脫了呢。\n借我一下吧，我順便幫你補好。
MID_ETHLIN_FRIEND: 我是艾絲琳，過來跟你打聲招呼。\n請多多關照$Nf唷。
MID_ETHLIN_LEVEL1: 我畢竟也是聖戰士巴爾德的後裔，\n為了孩子們，我絕對不會輸的！
MID_ETHLIN_LEVEL2: 不管是任何事情，\n只要不放棄，總會有辦法的！
MID_ETHLIN_LEVEL3: 哎呀呀……\n我這樣是不是會成為累贅呢？
MID_ETHLIN_SKILL: 呵呵，感覺自己好像煥然一新了。\n不知道喬安會不會發現呢？
MID_ETHLIN_JOIN: 我是倫斯特家的喬安之妻──艾絲琳。\n有事情的話，\n還請你簡單地說明一下喔。
MID_ETHLIN_STRONGEST: 吶，$Nu殿下，\n你的家人近來可好？\n有沒有互相承諾此生之愛的對象呢……？$k$p蒙上天恩惠，我有許多重要、無可取代的人。\n丈夫喬安、哥哥大人、父親大人……\n更重要的還有……$k$p女兒阿爾緹娜、兒子里弗。\n只要想起他們的笑容，\n不管任何困難我都能挺身面對。$k$p沒錯，只要是為了重要的人，\n沒有什麼事情是無法跨越過去的……\n就算是賭上生命戰鬥，我也不害怕。$k$p所以不管發生什麼事，\n也請你絕對不要放棄。\n讓我們一起奮戰到底吧！
MID_ETHLIN_VOICE01: 嘿──！
MID_ETHLIN_VOICE02: 接招！
MID_ETHLIN_VOICE03: 呀啊──！
MID_ETHLIN_VOICE04: 怎麼會……
MID_ETHLIN_VOICE05: 由我來守護！
MID_ETHLIN_VOICE06: 對不起……！
MID_ETHLIN_VOICE07: 直到最後一刻……！
MID_ETHLIN_VOICE08: 絕對沒問題的！
MID_ETHLIN_VOICE09: キュアン、ごめんなさい…
MID_ETHLIN_VOICE10: うふふっ
MID_ETHLIN_VOICE11: 我常伴你左右。
MID_ETHLIN_VOICE12: 請不要放棄。
MID_ETHLIN_VOICE13: 私は兄上に似てるんですって。言い出したら譲らないところとか…
MID_ETHLIN_VOICE14: きゃっ！？　あら、あなただったの。
MID_ETHLIN_VOICE15: 兄上は昔から向こう見ずなところがあったから、私がお助けしないと…
MID_ETHLIN_VOICE16: 兄上とディアドラ様が幸せに暮らせますように…
MID_ETHLIN_VOICE17: 心配してくれてありがとう…あなたは優しい人ね。
MID_ETHLIN_VOICE18: ええ
MID_ETHLIN_VOICE19: ごめんなさいね
MID_ETHLIN_VOICE20: みんなで戦いましょう
