[Heroes Archive] (SORT)


Heroes Message Name: Message


MID_SORT_HOME1: 太好了……\n這裡的人好像都很善良。\n其實我本來很不安呢。
MID_SORT_HOME2: 我在自衛團都會照顧馬匹、\n抓抓小偷、維持治安等等。\n那時真是祥和呀……
MID_SORT_HOME3: 你今天氣色也不錯呢。\n不過，如果不舒服的話，要跟我說哦。\n調配胃藥之類的藥劑還難不倒我。
MID_SORT_HOME4: 欸，要不要跟我一起去吃飯？\n既然來了，我想多見識見識\n這個國家的名產啦。
MID_SORT_HOME5: 我把睡亂的頭髮整理過了……如何？\n我曾經被誤認為是蔬菜，\n結果屍兵把我當成了攻擊目標……
MID_SORT_FRIEND: 啊，終於找到你了！\n$Nf\n要我來跟你打聲招呼喔。
MID_SORT_LEVEL1: 我現在變得比\n以往的我強多了！
MID_SORT_LEVEL2: 太好了……！\n順利成長…！
MID_SORT_LEVEL3: 對、對不起。\n我會更努力的……
MID_SORT_SKILL: 謝謝你給我力量。\n今後我會更努力鍛鍊的！
MID_SORT_JOIN: 你好，我是索爾，\n是庫洛武自衛團的一員。\n我、我緊張到胃痛了……！
MID_SORT_STRONGEST: 呼，今天也努力訓練了呢。\n肚子好像有點餓了……\n啊，$Nu……！$k$p什麼？要給我這個麵包？\n你是因為覺得我快要餓了，\n所以才拿來的嗎？謝謝你！$k$p你真的很會照顧大家耶。\n在戰場上也是這樣，\n你的指示已經救過我不知多少次了。$k$p不過，越是關心他人的人，\n越容易疏忽了自己。\n……所以，你就由我來照顧吧。$k$p不能讓你勉強自己……\n我會證明我也能成為你的助力，\n所以未來就讓一起繼續努力吧。\n
MID_SORT_VOICE01: 喝！
MID_SORT_VOICE02: 嘿呀！
MID_SORT_VOICE03: 嗚哇！
MID_SORT_VOICE04: 怎麼會……！
MID_SORT_VOICE05: 就用這招決勝負！
MID_SORT_VOICE06: 覺悟吧……！
MID_SORT_VOICE07: 我要幹掉你！
MID_SORT_VOICE08: 贏定了！
MID_SORT_VOICE09: 我……認輸……
MID_SORT_VOICE10: 嘿嘿！
MID_SORT_VOICE11: 我很高興你來跟我說話喔。
MID_SORT_VOICE12: 我是庫洛武自衛團的一員喔。
MID_SORT_VOICE13: 我的頭髮該不會又睡亂了……？
MID_SORT_VOICE14: 目標是傳說中的「黑豹」，努力訓練。
MID_SORT_VOICE15: 我老家是賣藥的。我很擅長調配藥劑喔。
MID_SORT_VOICE16: 肚、肚子好痛……是不是又吃太多了……
MID_SORT_VOICE17: 我雖然偶爾有點脫線，不過……\n我會努力協助你們的哦。
MID_SORT_VOICE18: 嗯！
MID_SORT_VOICE19: 走吧！
MID_SORT_VOICE20: 等等我～
