[Heroes Archive] (BOOWY)


Heroes Message Name: Message


MID_BOOWY_HOME1: 又是異世界、又是特務機關……\n總覺得跟做夢一樣，\n我到現在還是難以置信。
MID_BOOWY_HOME2: 我是諾瓦島上的漁夫之子。\n因為兄弟太多，生活難過，\n所以就被丟去修道院當學徒了。
MID_BOOWY_HOME3: 你真是勤勞呢。\n不過，記得要適可而止喔。\n要是累壞了，可就得不償失了。
MID_BOOWY_HOME4: 只要看到大海，我就會平靜下來。\n這世界的大海要怎麼去啊？\n可以的話就帶我去吧。
MID_BOOWY_HOME5: 我剛剛在複習魔道書。\n要是不認真學習的話，\n是會被諾瑪大人斥責的。
MID_BOOWY_FRIEND: 我是來替$Nf\n向你致意的喔。\n你就收下吧。
MID_BOOWY_LEVEL1: 嘿嘿……\n我可以得意一下吧？
MID_BOOWY_LEVEL2: 可不能奢望太多呢。\n\n
MID_BOOWY_LEVEL3: 看來要重新修行啦……
MID_BOOWY_SKILL: 我覺得如果你願意相信我，\n我就能變得更強。
MID_BOOWY_JOIN: 我叫做波伊，是個魔道士。\n雖然我討厭麻煩事，\n但既然都被叫出來了，那也沒法子啦。
MID_BOOWY_STRONGEST: 我老家啊，該怎麼說呢？就是窮啦。\n所以才把我一個人交給修道院照顧。\n雖然也是因為我有魔道的資質就是了。$k$p其實並不會很辛苦喔！\n不過，我還是偶爾會去想，如果我\n生在不同的人家，到底會變得怎麼樣。$k$p不過，其實也只有小時候會這麼想……\n因為我知道不管怎麼想都無濟於事啊。\n然而，卻發生了那件事。$k$p我被召喚到這裡，和不同世界的人\n一起並肩奮戰，這經驗真是超難得的。\n非常謝謝你啊。$k$p再說，我一點都不覺得你是外人。\n是因為我們老是混在一起吧？\n感覺……就像一家人。
MID_BOOWY_VOICE01: 喝啊！
MID_BOOWY_VOICE02: 看招！
MID_BOOWY_VOICE03: 可惡……！
MID_BOOWY_VOICE04: 哇啊～～！！
MID_BOOWY_VOICE05: 看招！
MID_BOOWY_VOICE06: 抱歉啦。
MID_BOOWY_VOICE07: 滾開！
MID_BOOWY_VOICE08: 結束了！
MID_BOOWY_VOICE09: 好痛啊……
MID_BOOWY_VOICE10: 嘿嘿！
MID_BOOWY_VOICE11: 幹、幹什麼啦？
MID_BOOWY_VOICE12: 別這樣！我可不是小孩子喔。
MID_BOOWY_VOICE13: 唉……隨便你啦。
MID_BOOWY_VOICE14: 島上的大家不知道過得好不好……
MID_BOOWY_VOICE15: 我跟梅伊純粹只是孽緣而已啦。
MID_BOOWY_VOICE16: 我會做我該做的事。如此而已。
MID_BOOWY_VOICE17: 雖然不是很明白，但跟你在一起的感覺挺不賴的呢。
MID_BOOWY_VOICE18: 喔。
MID_BOOWY_VOICE19: 嗯……
MID_BOOWY_VOICE20: 上吧！
