[Heroes Archive] (HECTOR_LEGEND01)


Heroes Message Name: Message


MID_HECTOR_LEGEND01_HOME1: 平時當領主很少能自由活動身體，\n就這一點來看，待在這裡快活多了！
MID_HECTOR_LEGEND01_HOME2: 我的孩子和艾利烏德的孩子，\n究竟誰更技高一籌呢……\n不過說起來，他們也不算競爭關係就是了。
MID_HECTOR_LEGEND01_HOME3: 喂，你怎麼在這晃來晃去的？\n身為主將應該要更穩重一點。\n不像我會說的話？這我也知道啦。
MID_HECTOR_LEGEND01_HOME4: 我和阿爾瑪茲一起奮戰很長一段時間了……\n嗯，這傢伙很喜歡戰鬥，\n現在肯定開心得很呢。
MID_HECTOR_LEGEND01_HOME5: 這座城池不管什麼時候看起來都很棒。\n但也許不需要仰賴這種東西的國家，\n才是真正的好國家吧。
MID_HECTOR_LEGEND01_FRIEND: 我乃奧斯提亞侯爵──海克托爾，\n以$Nf\n之名帶來問候，有勞轉達了。
MID_HECTOR_LEGEND01_LEVEL1: 噢！\n這就是本大爺海克托爾的實力啊！
MID_HECTOR_LEGEND01_LEVEL2: 很好，感覺很不錯。\n還能再繼續挑戰！
MID_HECTOR_LEGEND01_LEVEL3: 就這點程度啊……\n看來我也開始變遲鈍了。
MID_HECTOR_LEGEND01_SKILL: 這樣我的實力就更上一層樓了！
MID_HECTOR_LEGEND01_JOIN: 我是奧斯提亞侯爵──海克托爾。\n就讓我與阿爾瑪茲一同成為你的力量吧。\n……說這種話真的跟我的性格不符耶。
MID_HECTOR_LEGEND01_STRONGEST: 嘿，$Nu。\n我問你一個問題……\n你相信命運嗎？$k$p若是不久之前的我，\n會嗤之以鼻覺得根本沒什麼……\n但現在卻無法如此了。$k$p不過這不是重點。\n不管到底有沒有命運存在，\n最重要的是不要對自己的選擇感到後悔！$k$p只要擁有堅毅的內心，\n未來即便在生死交關之際也不會感到迷惘。\n不只是我，你也一樣。$k$p……不像我會說的話？我可是被逼迫\n做領主這種最不適合我的職務啊，\n至少也讓我說說教吧。
MID_HECTOR_LEGEND01_VOICE01: 唔喔喔！
MID_HECTOR_LEGEND01_VOICE02: 接招！
MID_HECTOR_LEGEND01_VOICE03: 嗚啊啊！
MID_HECTOR_LEGEND01_VOICE04: 嘖！
MID_HECTOR_LEGEND01_VOICE05: 一切都結束了！
MID_HECTOR_LEGEND01_VOICE06: 沉眠吧！
MID_HECTOR_LEGEND01_VOICE07: 就是現在！
MID_HECTOR_LEGEND01_VOICE08: 阿爾瑪茲！
MID_HECTOR_LEGEND01_VOICE09: これから…だってのに…
MID_HECTOR_LEGEND01_VOICE10: はははっ！
MID_HECTOR_LEGEND01_VOICE11: 伝承の英雄？　よくわかんねーが、八神将（はっしんしょう）みたいなもんか？
MID_HECTOR_LEGEND01_VOICE12: うおっ！？　不意打ちか！？　なかなかやるじゃねーか！
MID_HECTOR_LEGEND01_VOICE13: 兄上が担ってきた役目、民たちへの思い…すべて、俺が継ぐ。
MID_HECTOR_LEGEND01_VOICE14: 玉座に座ってるなんざ、俺のガラじゃねえけどな…
MID_HECTOR_LEGEND01_VOICE15: 俺の子とエリウッドの子…将来どっちが強いか勝負だな。
MID_HECTOR_LEGEND01_VOICE16: 戦は起きる。いずれ、途方もない戦がな…
MID_HECTOR_LEGEND01_VOICE17: 頼りにしてるぜ。これからも、俺や、俺の子たちを導いてくれ。
MID_HECTOR_LEGEND01_VOICE18: わかったぜ
MID_HECTOR_LEGEND01_VOICE19: どいつが相手だ？
MID_HECTOR_LEGEND01_VOICE20: とっとと行くぜ！
