[Heroes Archive] (SIGLUD)


Heroes Message Name: Message


MID_SIGLUD_HOME1: 我愛迪雅朵拉。\n即使這份愛是一種罪過，\n我也絕不後悔。
MID_SIGLUD_HOME2: 吾友艾爾多尚……\n為什麼他非得要死去才行呢……？
MID_SIGLUD_HOME3: 你不需要凡事親力而為。\n你還有我和這麼多的夥伴，不是嗎？
MID_SIGLUD_HOME4: 賽列斯……\n我的孩子平安無事，\n這比什麼都值得高興。
MID_SIGLUD_HOME5: 只要戰爭結束，我一定\n會去接我的孩子賽列斯……\n以前我曾這麼和他約好了。
MID_SIGLUD_FRIEND: 你就是$Nu啊。\n我受$Nf委託，\n前來遞送這封書信。
MID_SIGLUD_LEVEL1: 我是戰士巴爾德的後裔，\n絕不會辜負你的信賴。
MID_SIGLUD_LEVEL2: 我必須變強才行。\n為了守護國家、守護人民。
MID_SIGLUD_LEVEL3: 這樣可無顏面對眾人啊……
MID_SIGLUD_SKILL: 這份光榮我受之有愧。\n我承諾將會做出更大的貢獻。
MID_SIGLUD_JOIN: 我是西格爾特，\n希亞費公國大公之子，\n繼承了聖戰士巴爾德血脈的後裔。
MID_SIGLUD_STRONGEST: ……以前，\n父親與我曾遭人誣陷，\n背上了造反的污名。$k$p我為了揭露真相、\n為了奪回名譽而戰。\n然而……我失敗了。$k$p賽列斯為了替我洗刷冤屈，\n小小年紀也賭命奮戰……$k$p光之皇子為亡父報仇……\n擊敗邪惡、為世界找回光明……\n這應該是眾人所期望的發展才對。$k$p然而……真相並非只有一個。\n被視為邪惡方的……真相……\n直到很久之後，我才得知那個真相。$k$p我必須讓賽列斯也知道這件事。\n這就是我身為父親的使命。\n為了讓賽列斯成為真正的王者……\n
MID_SIGLUD_VOICE01: 喝！
MID_SIGLUD_VOICE02: 嘿！
MID_SIGLUD_VOICE03: 嗚啊～！
MID_SIGLUD_VOICE04: 唔！……可是……
MID_SIGLUD_VOICE05: 由我來擊潰敵人！
MID_SIGLUD_VOICE06: 一口氣擊破！
MID_SIGLUD_VOICE07: 不可原諒……
MID_SIGLUD_VOICE08: 放下劍吧！
MID_SIGLUD_VOICE09: 抱歉……迪雅朵拉……
MID_SIGLUD_VOICE10: 呵呵。
MID_SIGLUD_VOICE11: 可以的話，我想找你談談。
MID_SIGLUD_VOICE12: ？抱歉，你在叫我嗎？
MID_SIGLUD_VOICE13: 眾人之所以會這麼愛戴你，就是因為你那份溫柔吧。
MID_SIGLUD_VOICE14: 希望今後也能繼續借助你的力量。……嗯，沒錯。我要的就是你。
MID_SIGLUD_VOICE15: 如果這份愛是一種罪過……我願獨自承擔懲罰……
MID_SIGLUD_VOICE16: 賽列斯，原諒爸爸……你一定要……好好長大……
MID_SIGLUD_VOICE17: 我答應你，一定會盡全力守護你。
MID_SIGLUD_VOICE18: 我知道了。
MID_SIGLUD_VOICE19: 我相信你。
MID_SIGLUD_VOICE20: 我答應你。
