[Heroes Archive] (LLOYD)


Heroes Message Name: Message


MID_LLOYD_HOME1: 這地方還真漂亮啊……\n和我待過的【黑牙】截然不同，\n真讓我坐立難安。
MID_LLOYD_HOME2: 我們並不是想殺人。\n只是……對蹂躪弱者的人\n給予應得的報應罷了。
MID_LLOYD_HOME3: 你的武器還真有趣。\n如果能用在戰鬥中的話，\n不就能輕鬆解決惡人了嗎？
MID_LLOYD_HOME4: 我和弟弟萊納斯聯手，\n對惡人給予【牙】的制裁。\n要是沒有他，我很容易就會失控呢。
MID_LLOYD_HOME5: 【死神】賈法爾、【蒼鴉】烏爾斯拉、\n【白狼】洛伊德、【狂犬】萊納斯。\n我們被稱為【四牙】。\n
MID_LLOYD_FRIEND: 你就是$Nu吧？\n……放心。我只殺惡人。\n我只是受託來向你致意而已。
MID_LLOYD_LEVEL1: ……真的假的？\n這結果太好了。
MID_LLOYD_LEVEL2: 嗯，大概就這樣吧。
MID_LLOYD_LEVEL3: ……我也老了啊。
MID_LLOYD_SKILL: 謝謝你。\n報酬就用惡人的血來支付吧。
MID_LLOYD_JOIN: 我叫洛伊德，\n在【黑牙】裡被稱為【白狼】。\n若有該受到制裁的惡人，就把名字告訴我吧。
MID_LLOYD_STRONGEST: ……在過去，我們以身為【黑牙】自豪。\n即使身染血汙，依舊深明道義。$k$p然而，我們逐漸失去道義……\n【牙】最後步向了毀滅。\n這是理所當然的結局……$k$p你或許會覺得難以理解，\n但我在這支軍隊裡……\n莫名感受到某種懷念的氣息。$k$p這讓我想起了過去\n尚未喪失榮譽感的【黑牙】。\n再說……$k$p……你也跟我弟弟一樣，\n讓人放心不下啊。\n這就是我留在這裡的理由。
MID_LLOYD_VOICE01: 喝！
MID_LLOYD_VOICE02: 喝！
MID_LLOYD_VOICE03: 嗚啊～！
MID_LLOYD_VOICE04: ……什麼……？
MID_LLOYD_VOICE05: 領受【牙】的制裁吧。
MID_LLOYD_VOICE06: 別想逃。
MID_LLOYD_VOICE07: ……別怨我啊。
MID_LLOYD_VOICE08: 消失吧。
MID_LLOYD_VOICE09: 慘敗……啊……
MID_LLOYD_VOICE10: 呵！
MID_LLOYD_VOICE11: 你有想收拾掉的人嗎？
MID_LLOYD_VOICE12: 捉弄大人可不值得讚賞啊。
MID_LLOYD_VOICE13: 懲奸除惡是我們【牙】的職責。
MID_LLOYD_VOICE14: 【白狼】，這是我在【牙】的名字。
MID_LLOYD_VOICE15: 太好了，你並不是惡人。
MID_LLOYD_VOICE16: 不能違背【牙】的規矩……毫無例外。
MID_LLOYD_VOICE17: 表情真不錯，讓我想起了我的家人。
MID_LLOYD_VOICE18: 嗯。
MID_LLOYD_VOICE19: 要怎麼做呢……？
MID_LLOYD_VOICE20: 我要上了。
