[Heroes Archive] (REINHARDT)


Heroes Message Name: Message


MID_REINHARDT_HOME1: 阿爾馮斯王子和夏蓉公主\n兄妹倆的感情真好。\n讓我也懷念起往事來了。
MID_REINHARDT_HOME2: 我多年來擔任\n伊修達爾公主的侍衛。\n守護公主就是我的使命。
MID_REINHARDT_HOME3: 請務必保重身體。\n沒有你那優秀的計策，\n這支軍隊顯然就無法發揮功用了。
MID_REINHARDT_HOME4: 歐爾玟……\n不知不覺間，\n妳已經長大成人了。
MID_REINHARDT_HOME5: 在我原本的世界裡，我認識一位\n人稱軍神的天才軍師……\n而你常勝不敗的指揮讓我想起了他。
MID_REINHARDT_FRIEND: 突然造訪，還請見諒。\n我是萊茵哈特，\n為你捎來好友的問候。
MID_REINHARDT_LEVEL1: 這可說是超越預期的成果。\n我得更加繃緊精神才行。
MID_REINHARDT_LEVEL2: 這次成長將會成為\n更上一層樓的基礎。
MID_REINHARDT_LEVEL3: 很抱歉……\n看來我心裡還有迷惘未解。
MID_REINHARDT_SKILL: 榮幸至極。\n我將以戰場上的戰果相報。
MID_REINHARDT_JOIN: 我是弗立吉的騎士萊茵哈特。\n只要你一聲令下，我定將以雷之魔道\n徹底殲滅敵軍。
MID_REINHARDT_STRONGEST: 小時候……\n我的妹妹歐爾玟總是跟在我的後頭打轉。$k$p我一直認為引導妹妹前進……\n為妹妹竭盡所能，\n是身為哥哥的我該做的事。$k$p然而，我自以為\n替對方著想的行為……\n實際上卻並沒有幫助到她。$k$p我應該做的並不是為她指明方向……\n而是要能夠尊敬彼此、互相切磋琢磨，\n才稱得上是理想的關係吧。$k$p這是你讓我學習到的教訓。\n希望我和我妹妹、還有我和你之間……\n都能夠發展出那樣的關係。
MID_REINHARDT_VOICE01: 喝！
MID_REINHARDT_VOICE02: 嘿！
MID_REINHARDT_VOICE03: 嗚啊啊！
MID_REINHARDT_VOICE04: 好強……
MID_REINHARDT_VOICE05: 這也是命吧……
MID_REINHARDT_VOICE06: 全力一擊！
MID_REINHARDT_VOICE07: 退下吧。
MID_REINHARDT_VOICE08: 傾盡魔道之力——
MID_REINHARDT_VOICE09: 到此為止了嗎……？
MID_REINHARDT_VOICE10: 呵！
MID_REINHARDT_VOICE11: 有何指令？
MID_REINHARDT_VOICE12: ！？……請別開玩笑。
MID_REINHARDT_VOICE13: 你擁有無與倫比的軍事天賦。
MID_REINHARDT_VOICE14: 你和我認識的天才軍師賽亞斯……不知會是誰更勝一籌……
MID_REINHARDT_VOICE15: 你有兄弟姊妹嗎？我有個妹妹叫做歐爾玟。
MID_REINHARDT_VOICE16: 我妹妹的生存之道與我截然不同……
MID_REINHARDT_VOICE17: 無論前方是什麼樣的道路……都讓我跟你一同走下去吧。
MID_REINHARDT_VOICE18: 我知道了。
MID_REINHARDT_VOICE19: 請下令。
MID_REINHARDT_VOICE20: 我們走吧。
