[Heroes Archive] (CHROM)


Heroes Message Name: Message


MID_CHROM_HOME1: 每次只要看到\n$Nu你跟阿爾馮斯……\n就會想起以前的我和那個人。
MID_CHROM_HOME2: 我在自衛團的主要任務是擊退\n遍布各地的盜賊和被稱為屍兵的怪物。\n在這裡則是以和英雄戰鬥為主。
MID_CHROM_HOME3: 什麼啊，你在巡邏嗎？\n你跟我們家的軍師還真像呢。\n可別太逞強了喔！
MID_CHROM_HOME4: 下次要不要跟我一起鍛鍊？\n我可以教你護身術之類的喔。\n這樣的話我就不會把牆壁打出洞了。
MID_CHROM_HOME5: ……抱歉，$Nu。\n我剛才用法爾西昂來練習揮劍，\n結果不小心打破了裝飾用的壺……
MID_CHROM_FRIEND: 這裡就是你的城堡？\n$Nf要我來\n跟你說聲請多指教喔。
MID_CHROM_LEVEL1: 我不會再輸給任何人了……！
MID_CHROM_LEVEL2: 我要變得更強！
MID_CHROM_LEVEL3: 抱歉。\n似乎沒什麼改變啊……
MID_CHROM_SKILL: 你給了我力量嗎？感謝你。\n我絕不會讓你後悔。
MID_CHROM_JOIN: 我是伊里斯聖王國的王子，庫洛武。\n現在是自衛團的團長。\n為了夥伴和世界……我要戰鬥下去。
MID_CHROM_STRONGEST: 自從和你一起並肩作戰之後，\n感覺已經過去很久了。\n剛開始雖然很不知所措……$k$p但幸虧有$Nu你引導我，\n讓我覺得很安心。\n今後也請你繼續陪伴在我身邊。$k$p話說回來……\n剛見到你的時候，我就覺得\n你真的跟魯弗萊很像。$k$p不，我指的不是外表。\n是你運籌帷幄、協助大家作戰，\n還有絕不讓任何人喪生的想法。$k$p你一定很快就會成為一個傑出的軍師。\n我也會以英雄的身分協助你。\n你我之間的羈絆……是永遠的。\n
MID_CHROM_VOICE01: 喝！
MID_CHROM_VOICE02: 嘿呀！
MID_CHROM_VOICE03: 嗚啊！
MID_CHROM_VOICE04: 可惡……！
MID_CHROM_VOICE05: 我要改變命運！
MID_CHROM_VOICE06: 我不會輸！
MID_CHROM_VOICE07: 這就是羈絆！
MID_CHROM_VOICE08: 最後一擊就交給我吧！
MID_CHROM_VOICE09: 可、可……可惡……！
MID_CHROM_VOICE10: 呵……！
MID_CHROM_VOICE11: 你我之間的羈絆比命運更堅韌。
MID_CHROM_VOICE12: 你的武器還真是奇特啊。
MID_CHROM_VOICE13: 特務機關……是類似自衛團的組織嗎？
MID_CHROM_VOICE14: 伊里斯那邊不知道要不要緊……
MID_CHROM_VOICE15: 我身邊有位可靠的軍師。
MID_CHROM_VOICE16: 唔……又不小心在牆上開出個大洞了……
MID_CHROM_VOICE17: 我相信……這份羈絆是永恆的。\n只要你開口，我隨時會為你兩肋插刀。……吾友。
MID_CHROM_VOICE18: 嗯。
MID_CHROM_VOICE19: 好。
MID_CHROM_VOICE20: 上吧。
