[Heroes Archive] (JHOSUA)


Heroes Message Name: Message


MID_JHOSUA_HOME1: 不久之後，我必須完成一件事。\n賭博是在測試手氣，\n以因應那一天的到來。
MID_JHOSUA_HOME2: 我一直都在各國周遊，\n曾靠著這身劍法當過傭兵，\n也曾在酒館靠賭博撈過一筆。
MID_JHOSUA_HOME3: 雖然和我的祖國截然不同，\n這個國家也蠻不錯的嘛。\n要是有賭場就更好了……
MID_JHOSUA_HOME4: 欸，要不要跟我賭一把？\n哈哈，你放心。\n我不會對外行人出老千的。
MID_JHOSUA_HOME5: 賭博可是很深奧的喔。\n就連我都曾經輸個精光過……\n但這就是學費。
MID_JHOSUA_FRIEND: 是$Nf託我\n來問候你的。話說回來，\n這裡有賭場嗎？
MID_JHOSUA_LEVEL1: 真是驚人啊。\n好運一來，擋都擋不住。
MID_JHOSUA_LEVEL2: 看來風水輪流轉了。
MID_JHOSUA_LEVEL3: 手氣不順啊……
MID_JHOSUA_SKILL: 這份力量……將獻給母親大人、\n賈哈納，以及這個世界……
MID_JHOSUA_JOIN: 我叫約書亞，是個傭兵。\n你就是我的雇主嗎？\n請多關照囉。
MID_JHOSUA_STRONGEST: 在我還是個小鬼時，\n就逃離了那個死板的家……\n長年在各國間流浪。$k$p現在回想起來還真愚蠢啊……\n不過也因此我學到了許多事情，\n也才能像這樣認識你。$k$p我總有一天會回國，\n然後繼承王位，\n將身心都奉獻給祖國。$k$p沒錯，我就是賈哈納這個國家的王子。\n當我回去時，$Nu，\n希望你也能和我一起走。$k$p我不會要你立刻答應我啦。\n總之，你就好好考慮吧。
MID_JHOSUA_VOICE01: 喝！
MID_JHOSUA_VOICE02: 抱歉啦。
MID_JHOSUA_VOICE03: 嗚啊～！
MID_JHOSUA_VOICE04: 真不走運……
MID_JHOSUA_VOICE05: 可別恨我喔！
MID_JHOSUA_VOICE06: 我要斬了你，不過……
MID_JHOSUA_VOICE07: 來賭一把吧。
MID_JHOSUA_VOICE08: 你撐得過去嗎？
MID_JHOSUA_VOICE09: 運勢……欠佳啊……
MID_JHOSUA_VOICE10: 呵！
MID_JHOSUA_VOICE11: 讓我見識一下你的手氣吧。
MID_JHOSUA_VOICE12: ！？哎呀，出老千被你抓到了啊。
MID_JHOSUA_VOICE13: 正面還是反面……要賭一把嗎？我賭反面。
MID_JHOSUA_VOICE14: 哦，是正面啊。你今天手氣不錯呢。
MID_JHOSUA_VOICE15: 哎呀，是反面。抱歉啦，是我贏了。
MID_JHOSUA_VOICE16: 母親大人……請恕罪。我一定會拯救祖國……
MID_JHOSUA_VOICE17: 我需要你。要是我賭贏了，就助我一臂之力吧。
MID_JHOSUA_VOICE18: 嗯。
MID_JHOSUA_VOICE19: 是正還是反……
MID_JHOSUA_VOICE20: 決定了嗎？
