[Heroes Archive] (LIN_VALENTINE01)


Heroes Message Name: Message


MID_LIN_VALENTINE01_HOME1: 在你原本的世界也有愛之祭典呀。\n你有收到很多禮物嗎？
MID_LIN_VALENTINE01_HOME2: 總、總覺得這身裝扮不好行動……\n我不習慣穿拘謹的禮服。
MID_LIN_VALENTINE01_HOME3: 吶、吶，$Nu，\n你喜歡的東西是……\n沒、沒事，別在意！
MID_LIN_VALENTINE01_HOME4: 草原之民分成許多部落，\n部落之間的贈禮和節慶\n對我們而言是非常重要的活動。
MID_LIN_VALENTINE01_HOME5: 希望海克托爾和艾利烏德\n能讓我也加入他們的對練。\n畢竟我還欠海克托爾一筆人情呢。
MID_LIN_VALENTINE01_FRIEND: 這是$Nf\n送你的禮物喔。\n請收下吧。
MID_LIN_VALENTINE01_LEVEL1: 這身裝扮比我想像中更適合戰鬥呢！
MID_LIN_VALENTINE01_LEVEL2: 不管是送禮還是戰鬥，\n我都會全力以赴。
MID_LIN_VALENTINE01_LEVEL3: 可能是因為我太專注於禮物的事情了……
MID_LIN_VALENTINE01_SKILL: 謝謝，之後我會好好回報你的。
MID_LIN_VALENTINE01_JOIN: 我叫做琳。聽說在愛之祭典\n要打扮成這樣……\n這有點不好活動吧？
MID_LIN_VALENTINE01_STRONGEST: 吶、吶，$Nu，\n你想要的東西……\n是什麼？$k$p啊，對不起。\n突然問你奇怪的問題……\n嚇了一跳嗎？$k$p因為一直以來都受到你的幫助……\n所以想答謝你。\n但我不知道該送什麼好……$k$p只要是我有辦法給你的東西，\n什麼都可以喔。\n不要客氣，儘管開口吧。$k$p請告訴我你想要什麼……\n
MID_LIN_VALENTINE01_VOICE01: 看招！
MID_LIN_VALENTINE01_VOICE02: 送你了！
MID_LIN_VALENTINE01_VOICE03: 呀啊！
MID_LIN_VALENTINE01_VOICE04: 怎麼會……！
MID_LIN_VALENTINE01_VOICE05: 這是送你的禮物。
MID_LIN_VALENTINE01_VOICE06: 請收下吧！
MID_LIN_VALENTINE01_VOICE07: 滿懷我的心意……
MID_LIN_VALENTINE01_VOICE08: 威力不小唷。
MID_LIN_VALENTINE01_VOICE09: ああ…壊れちゃう…
MID_LIN_VALENTINE01_VOICE10: あ…
MID_LIN_VALENTINE01_VOICE11: 贈り物をするお祭りは、私たちの部族にもあったのよ
MID_LIN_VALENTINE01_VOICE12: きゃっ！？　…もう、贈り物を落とすところだったわ。
MID_LIN_VALENTINE01_VOICE13: おじい様には、何を贈ったら良いかしら…？
MID_LIN_VALENTINE01_VOICE14: 好きな人に贈り物をあげると、恋人同士になれるお祭りなんですって。
MID_LIN_VALENTINE01_VOICE15: 私が欲しいもの？　うーん…そう言われると悩むわね…
MID_LIN_VALENTINE01_VOICE16: 普段は口にできない、大切な気持ちを込めて…か…
MID_LIN_VALENTINE01_VOICE17: ね、ねえ…あなたが欲しいものって…何…？
MID_LIN_VALENTINE01_VOICE18: 素敵…
MID_LIN_VALENTINE01_VOICE19: 悩むわね…
MID_LIN_VALENTINE01_VOICE20: 何が好き？
