[Heroes Archive] (OSCAR)


Heroes Message Name: Message


MID_OSCAR_HOME1: 調度物資、再加上煮飯……\n嗯～今天有很多事要處理呢。\n看來會很忙了。
MID_OSCAR_HOME2: 我有兩個弟弟，\n叫做博雷跟優法。\n他們是我最珍貴的家人喔。
MID_OSCAR_HOME3: 你看起來心事重重呢。\n請不要獨自煩惱，若不介意的話，\n可以跟我談談嗎？
MID_OSCAR_HOME4: 我原本是克里米亞的騎士。\n騎士團裡也有我重要的夥伴喔。
MID_OSCAR_HOME5: 我能做到的事不多，\n但即使如此……\n我也想為了拯救人民而戰。
MID_OSCAR_FRIEND: 你好，我叫做奧斯卡。\n我是來替$Nf\n向你致意的喔。
MID_OSCAR_LEVEL1: 越是在一帆風順的時候，\n越應該提高警覺喔。
MID_OSCAR_LEVEL2: 真順利呢。\n就照這股氣勢努力吧。
MID_OSCAR_LEVEL3: 不順遂的時候，\n首先要以活下去為目標。
MID_OSCAR_SKILL: 謝謝你。\n你對我有所期待，我很高興喔。
MID_OSCAR_JOIN: 我是格萊爾傭兵團的奧斯卡。\n擅長的事嘛……我想想，\n大概是幫大家煮飯吧？
MID_OSCAR_STRONGEST: 出席軍議、調度物資、\n還有指揮訓練……呃～\n接下來還要做什麼呀……？$k$p嗨，$Nu，\n匆匆忙忙的，真是抱歉。\n我什麼都會一點，所以別人常找我幫忙。$k$p啊，請別誤會，\n能像這樣受到依賴，\n我反而很高興喔。$k$p或許是因為我是三兄弟中的長男吧，\n總覺得有股懷念的感覺呢。\n$Nu，如果你也需要幫忙……$k$p嗯，你說得對。\n我會在不逞強的範圍內努力的。\n謝謝你的關心。
MID_OSCAR_VOICE01: 喝！
MID_OSCAR_VOICE02: 嘿！
MID_OSCAR_VOICE03: 嗚啊～！
MID_OSCAR_VOICE04: 糟了……
MID_OSCAR_VOICE05: 我決不讓任何人喪命。
MID_OSCAR_VOICE06: 投降吧。
MID_OSCAR_VOICE07: 我要盡全力了。
MID_OSCAR_VOICE08: 我無法手下留情。
MID_OSCAR_VOICE09: 抱歉……
MID_OSCAR_VOICE10: 哈哈！
MID_OSCAR_VOICE11: 嗨，狀況怎麼樣？
MID_OSCAR_VOICE12: 咦？你放心，我都有在好好關注你喔。
MID_OSCAR_VOICE13: 可以告訴我你喜歡吃什麼料理嗎？
MID_OSCAR_VOICE14: 你能和每個人打成一片，這點我也想學習呢。
MID_OSCAR_VOICE15: 想拯救那些沒得到救贖的人……這就是我的心願。
MID_OSCAR_VOICE16: 失去夥伴雖然讓人痛心，但我們的工作就是得賭上性命……
MID_OSCAR_VOICE17: 遇到危險時，我隨時都可以讓你依靠。
MID_OSCAR_VOICE18: 嗯。
MID_OSCAR_VOICE19: 該怎麼辦呢？
MID_OSCAR_VOICE20: 我會努力的。
