[Heroes Archive] (Data_642_legend11)


Heroes Message Name: Message


MDAID_花のかんざし・金: 花之髮簪・金
MDAID_H_花のかんざし・金: 戰勝傳承英雄佛利茲的證明。
MDAID_夏祭りのお面・金: 夏祭面具・金
MDAID_H_夏祭りのお面・金: 戰勝傳承英雄露琪娜的證明。
MDAID_重騎士の兜・金: 重騎士頭盔・金
MDAID_H_重騎士の兜・金: 戰勝傳承英雄龍馬的證明。
MDAID_ニフルの冠: 尼福爾之冠
MDAID_H_ニフルの冠: 從佛利茲那裡得到的王冠。\n隨時散發著一股寒氣。只要戴在身上，\n便可以以冷靜的態度看待事物。
MDAID_ニフルの冠・極: 尼福爾之冠・極
MDAID_H_ニフルの冠・極: 從佛利茲那裡得到的王冠。\n似乎是歷代尼福爾王族配戴的物品。
MDAID_ニフルのお守り: 尼福爾的護身符
MDAID_H_ニフルのお守り: 從優爾格那裡得到的護身符。\n上面裝飾著尼福爾紋章的圖案。
MDAID_ニフルのお守り・極: 尼福爾的護身符・極
MDAID_H_ニフルのお守り・極: 從優爾格那裡得到的護身符。\n下面綁上具有祈求平安魔法的蝴蝶結。
MDAID_氷の花の髪飾り: 冰之花的髮飾
MDAID_H_氷の花の髪飾り: 從斯利茲那裡得到的冰之花。\n具有充滿透明感的美麗，冷冽且冰涼。\n無論怎樣的環境都不會融化的不可思議之花。
MDAID_氷の花の髪飾り・極: 冰之花的髮飾・極
MDAID_H_氷の花の髪飾り・極: 從斯利茲那裡得到的冰之花。\n在尼福爾境內也只會在部分區域綻放，\n無論怎樣的環境都不會融化的不可思議之花。
MDAID_氷の姫のティアラ: 冰之公主的寶冠
MDAID_H_氷の姫のティアラ: 從菲約爾姆那裡得到的寶冠。\n雖然非常漂亮，\n但有著與斯爾特交戰時留下的痕跡。
MDAID_氷の姫のティアラ・極: 冰之公主的寶冠・極
MDAID_H_氷の姫のティアラ・極: 從菲約爾姆那裡得到的寶冠。\n裝飾著於尼福爾境內可採集到的\n透明度相當高、冷冽的寶石。
MID_MISSION_M201812A_TITLE: １２月任務Ａ
MID_MISSION_M201812A_A1: 以青屬性擊敗敵人
MID_MISSION_H_M201812A_A1: 以青屬性的我方擊敗敵人。
MID_MISSION_M201812A_A2: 以步行擊敗敵人
MID_MISSION_H_M201812A_A2: 以步行的我方擊敗敵人。
MID_MISSION_M201812A_A3: 擊敗綠屬性
MID_MISSION_H_M201812A_A3: 擊敗綠屬性的敵人。
MID_MISSION_M201812A_A4: 擊敗飛行
MID_MISSION_H_M201812A_A4: 擊敗飛行的敵人。
MID_MISSION_M201812A_A5: 在鬥技場獲勝
MID_MISSION_H_M201812A_A5: 在鬥技場獲勝。
MID_MISSION_M201812A_A6: 以赤屬性擊敗LV20以上
MID_MISSION_H_M201812A_A6: 以赤屬性的我方\n擊敗等級20以上的敵人。
MID_MISSION_M201812A_A7: 以飛行擊敗LV20以上
MID_MISSION_H_M201812A_A7: 以飛行的我方\n擊敗等級20以上的敵人。
MID_MISSION_M201812A_A8: 擊敗LV20以上的青屬性
MID_MISSION_H_M201812A_A8: 擊敗等級20以上青屬性的敵人。
MID_MISSION_M201812A_A9: 擊敗LV20以上的步行
MID_MISSION_H_M201812A_A9: 擊敗等級20以上步行的敵人。
MID_MISSION_M201812A_A10: 在鬥技場(中級以上)獲勝
MID_MISSION_H_M201812A_A10: 在鬥技場(中級以上)獲勝。
MID_MISSION_M201812A_A11: 以綠屬性擊敗LV35以上
MID_MISSION_H_M201812A_A11: 以綠屬性的我方\n擊敗等級35以上的敵人。
MID_MISSION_M201812A_A12: 以騎馬擊敗LV35以上
MID_MISSION_H_M201812A_A12: 以騎馬的我方\n擊敗等級35以上的敵人。
MID_MISSION_M201812A_A13: 擊敗LV35以上的赤屬性
MID_MISSION_H_M201812A_A13: 擊敗等級35以上赤屬性的敵人。
MID_MISSION_M201812A_A14: 擊敗LV35以上的騎馬
MID_MISSION_H_M201812A_A14: 擊敗等級35以上騎馬的敵人。
MID_MISSION_M201812A_A15: 在鬥技場(上級)獲勝
MID_MISSION_H_M201812A_A15: 在鬥技場(上級)獲勝。
MID_MISSION_M201812B_TITLE: １２月任務Ｂ
MID_MISSION_M201812B_A1: 特殊:突破修練之塔・第1層
MID_MISSION_H_M201812B_A1: 在4人皆生存的狀態下\n過關修練之塔・第1層。
MID_MISSION_M201812B_A2: 特殊:突破修練之塔・第2層
MID_MISSION_H_M201812B_A2: 在4人皆生存的狀態下\n過關修練之塔・第2層。
MID_MISSION_M201812B_A3: 特殊:突破修練之塔・第3層
MID_MISSION_H_M201812B_A3: 在4人皆生存的狀態下\n過關修練之塔・第3層。
MID_MISSION_M201812B_A4: 特殊:突破修練之塔・第4層
MID_MISSION_H_M201812B_A4: 在4人皆生存的狀態下\n過關修練之塔・第4層。
MID_MISSION_M201812B_A5: 特殊:突破修練之塔・第5層
MID_MISSION_H_M201812B_A5: 在4人皆生存的狀態下\n過關修練之塔・第5層。
MID_MISSION_M201812B_A6: 特殊:突破修練之塔・第6層
MID_MISSION_H_M201812B_A6: 在4人皆生存的狀態下\n過關修練之塔・第6層。
MID_MISSION_M201812B_A7: 特殊:突破修練之塔・第7層
MID_MISSION_H_M201812B_A7: 在4人皆生存的狀態下\n過關修練之塔・第7層。
MID_MISSION_M201812B_A8: 特殊:突破修練之塔・第8層
MID_MISSION_H_M201812B_A8: 在4人皆生存的狀態下\n過關修練之塔・第8層。
MID_MISSION_M201812B_A9: 特殊:突破修練之塔・第9層
MID_MISSION_H_M201812B_A9: 在4人皆生存的狀態下\n過關修練之塔・第9層。
MID_MISSION_M201812B_A10: 特殊:突破修練之塔・第10層
MID_MISSION_H_M201812B_A10: 在4人皆生存的狀態下\n過關修練之塔・第10層。
MID_MISSION_M201812B_A11: 特殊:突破修練之塔・第10層
MID_MISSION_H_M201812B_A11: 我軍全員為步行，\n在4人皆生存的狀態下\n過關修練之塔・第10層。
MID_MISSION_M201812B_A12: 特殊:突破修練之塔・第10層
MID_MISSION_H_M201812B_A12: 我軍全員為重裝，\n在4人皆生存的狀態下\n過關修練之塔・第10層。
MID_MISSION_M201812B_A13: 特殊:突破修練之塔・第10層
MID_MISSION_H_M201812B_A13: 我軍全員為騎馬，\n在4人皆生存的狀態下\n過關修練之塔・第10層。
MID_MISSION_M201812B_A14: 特殊:突破修練之塔・第10層
MID_MISSION_H_M201812B_A14: 我軍全員為飛行，\n在4人皆生存的狀態下\n過關修練之塔・第10層。
MID_MISSION_M201812C_TITLE: １２月任務Ｃ
MID_MISSION_M201812C_A1: 特殊:突破第2章-第1節
MID_MISSION_H_M201812C_A1: 在4人皆生存的狀態下\n過關第2章-第1節。
MID_MISSION_M201812C_A2: 特殊:突破第2章-第2節
MID_MISSION_H_M201812C_A2: 我軍内有赤屬性成員，\n且在4人皆生存的狀態下\n過關第2章-第2節。
MID_MISSION_M201812C_A3: 特殊:突破第2章-第3節
MID_MISSION_H_M201812C_A3: 我軍內有青屬性成員，\n且在4人皆生存的狀態下\n過關第2章-第3節。
MID_MISSION_M201812C_A4: 特殊:突破第2章-第4節
MID_MISSION_H_M201812C_A4: 我軍內有綠屬性成員，\n且在4人皆生存的狀態下\n過關第2章-第4節。
MID_MISSION_M201812C_A5: 特殊:突破第2章-第5節
MID_MISSION_H_M201812C_A5: 我軍內有無屬性成員，\n且在4人皆生存的狀態下\n過關第2章-第5節。
MID_MISSION_M201812C_A6: 特殊:突破第5章-第1節(困難)
MID_MISSION_H_M201812C_A6: 在4人皆生存的狀態下\n過關第5章-第1節(困難以上)。
MID_MISSION_M201812C_A7: 特殊:突破第5章-第2節(困難)
MID_MISSION_H_M201812C_A7: 我軍內有赤屬性成員，\n且在4人皆生存的狀態下\n過關第5章-第2節(困難以上)。
MID_MISSION_M201812C_A8: 特殊:突破第5章-第3節(困難)
MID_MISSION_H_M201812C_A8: 我軍内有青屬性成員，\n且在4人皆生存的狀態下\n過關第5章-第3節(困難以上)。
MID_MISSION_M201812C_A9: 特殊:突破第5章-第4節(困難)
MID_MISSION_H_M201812C_A9: 我軍內有綠屬性成員，\n且在4人皆生存的狀態下\n過關第5章-第4節(困難以上)。
MID_MISSION_M201812C_A10: 特殊:突破第5章-第5節(困難)
MID_MISSION_H_M201812C_A10: 我軍内有無屬性成員，\n且在4人皆生存的狀態下\n過關第5章-第5節(困難以上)。
MID_MISSION_M201812C_A11: 特殊:突破第8章-第1節(超難)
MID_MISSION_H_M201812C_A11: 在4人皆生存的狀態下\n過關第8章-第1節(超難)。
MID_MISSION_M201812C_A12: 特殊:突破第8章-第2節(超難)
MID_MISSION_H_M201812C_A12: 我軍內有赤屬性成員，\n且在4人皆生存的狀態下\n過關第8章-第2節(超難)。
MID_MISSION_M201812C_A13: 特殊:突破第8章-第3節(超難)
MID_MISSION_H_M201812C_A13: 我軍内有青屬性成員，\n且在4人皆生存的狀態下\n過關第8章-第3節(超難)。
