[Heroes Archive] (KAMUI_F)


Heroes Message Name: Message


MID_KAMUI_F_HOME1: 這個世界的關鍵，\n一定就是你……\n這次就換我來守護別人吧。
MID_KAMUI_F_HOME2: 我從小生活在堡壘中……\n所以，能像這樣看到外面的世界，\n我覺得很開心喔。
MID_KAMUI_F_HOME3: 看到你如此忙碌的模樣，\n我就覺得無法置身事外。\n我也來久違地巡邏一下吧。
MID_KAMUI_F_HOME4: 你知道龍脈嗎？\n龍脈是一股足以改變地形的力量……\n我想去找找看這裡是否也有龍脈。
MID_KAMUI_F_HOME5: 我剛剛在想我的兄弟姊妹。\n他們都是我無比重要的人……\n我不想失去任何一位手足。
MID_KAMUI_F_FRIEND: 哎呀……真是雄偉的城堡呢。\n我受$Nf\n之託，前來向你致意。
MID_KAMUI_F_LEVEL1: 多虧了大家，\n我才能變得這麼強。
MID_KAMUI_F_LEVEL2: 這樣一來，\n就能為大家幫上更多忙了呢！
MID_KAMUI_F_LEVEL3: 好像沒變得多強呢……
MID_KAMUI_F_SKILL: 這就是我的嶄新力量……！
MID_KAMUI_F_JOIN: 我叫做神威，\n生於白夜，長於暗夜。\n我將以龍與夜刀神之力為你效命。
MID_KAMUI_F_STRONGEST: 哎呀，$Nu。\n你今天也來了呢。\n真是感謝你……！$k$p……啊。對不起，我摸了你的頭。\n我太高興了，所以壞毛病就冒出來了。\n我經常對夥伴這麼做喔。$k$p我覺得像這樣互相碰觸，就能比言語\n更清楚傳達重視對方的心情……\n若不嫌棄的話，要不要對我試試看呢？$k$p……哦呵呵，你摸得真溫柔。\n我已經好久沒被人摸頭了，\n但偶爾這樣也不錯呢。$k$p如果有機會的話，請再摸摸我的頭。\n如果能感受到你那體貼的心意……\n我一定就能變得無比堅強。\n
MID_KAMUI_F_VOICE01: 喝！
MID_KAMUI_F_VOICE02: 嘿呀！
MID_KAMUI_F_VOICE03: 呀啊！
MID_KAMUI_F_VOICE04: 不行呢……
MID_KAMUI_F_VOICE05: 我絕不會挫敗！
MID_KAMUI_F_VOICE06: 看我如何矇騙你！
MID_KAMUI_F_VOICE07: 絕不放棄！
MID_KAMUI_F_VOICE08: 我永遠相信……！
MID_KAMUI_F_VOICE09: 竟然……會這樣……
MID_KAMUI_F_VOICE10: 呵呵。
MID_KAMUI_F_VOICE11: 我可以摸摸你的頭髮嗎？
MID_KAMUI_F_VOICE12: 我有許多兄弟姊妹。
MID_KAMUI_F_VOICE13: 你已經做出選擇了呢，選擇在這裡與大家並肩作戰。
MID_KAMUI_F_VOICE14: 這裡沒有龍脈嗎？
MID_KAMUI_F_VOICE15: 總覺得我們很合得來呢。
MID_KAMUI_F_VOICE16: 這把刀裡，寄託著至今所有戰友的心意……
MID_KAMUI_F_VOICE17: 若你感到不安，記得要跟我說喔。\n儘管把我當成兄弟姊妹吧。
MID_KAMUI_F_VOICE18: 是！
MID_KAMUI_F_VOICE19: 選擇吧。
MID_KAMUI_F_VOICE20: 我出發囉。
