[Heroes Archive] (GARON)


Heroes Message Name: Message


MID_GARON_HOME1: 所謂的王，即是為國家帶來繁盛之人……\n但是，吾該做的則是給予毀滅……
MID_GARON_HOME2: 暗夜王國、白夜王國……\n遵從海卓拉神的指引……\n一同……落入吾掌中吧……
MID_GARON_HOME3: 少在那閒晃……礙眼。\n你只需要負責指揮戰鬥，\n這就夠了……
MID_GARON_HOME4: 你在等些什麼……\n和吾一同前去擊潰敵人，\n那才是吾等的宿命……
MID_GARON_HOME5: 將一切燃燒殆盡……不留半點塵埃……\n這世界遲早也會遭到吞噬，\n邁向毀滅……
MID_GARON_FRIEND: 名為$Nu的傢伙……\n退下吧……\n吾正是暗夜王加隆。
MID_GARON_LEVEL1: 本王加隆為君臨暗夜與\n白夜的永劫之王……！
MID_GARON_LEVEL2: 呵呵呵呵呵……哈哈哈哈哈！\n這種程度……是理所當然的吧……
MID_GARON_LEVEL3: 什……麼……
MID_GARON_SKILL: 呵呵呵，很好……！\n這樣就更接近吾的野心了……
MID_GARON_JOIN: 吾正是暗夜王加隆……\n就憑你是不可能看透吾的魂魄……
MID_GARON_STRONGEST: $Nu啊……\n你與那些空有表面的傢伙不同，\n還算是有自己的想法……$k$p呵呵呵……別誤會了，\n吾不打算評論你的價值。\n說到底，人生什麼的根本毫無價值。$k$p沒錯，吾同樣什麼都沒有……\n即使為了國家、為了人民竭盡所能……\n摯愛的妻兒，所有人都終將消逝……$k$p哼哼哼……哈哈哈哈！\n你能理解嗎？\n萬物終究注定會消逝……$k$p然後一同迎向毀滅……\n這就是吾等之神海卓拉的旨意。\n你最好有所體悟……
MID_GARON_VOICE01: 哼呵！
MID_GARON_VOICE02: 哼！
MID_GARON_VOICE03: 唔哦哦！
MID_GARON_VOICE04: 豈有此理……！
MID_GARON_VOICE05: 消散於黑暗中吧！
MID_GARON_VOICE06: 就好好來歡迎你吧！
MID_GARON_VOICE07: 最好認清自己的實力！
MID_GARON_VOICE08: 白費力氣！
MID_GARON_VOICE09: わしの…野望…が…
MID_GARON_VOICE10: ふはははっ！
MID_GARON_VOICE11: この暗夜王ガロンに何の用か？
MID_GARON_VOICE12: 我ら王族は、いにしえの神「神祖竜」の末裔…
MID_GARON_VOICE13: わしにとっては、雑兵との戦いなど草刈りの如きもの
MID_GARON_VOICE14: カムイ…やはりあの時、殺しておくべきだったな…だが…
MID_GARON_VOICE15: この暗夜王が敗北する道など、あってはならぬ…
MID_GARON_VOICE16: わしが我が子に敗れることを望んでいた…？　馬鹿な…
MID_GARON_VOICE17: 懐かしいな…こんな気持ちになるのは、いつ以来か…
MID_GARON_VOICE18: 良かろう
MID_GARON_VOICE19: 歓迎してやろう
MID_GARON_VOICE20: ほう、面白い
