[Heroes Archive] (EIRIK)


Heroes Message Name: Message


MID_EIRIK_HOME1: 沒有紛爭、大家都幸福的世界……\n這樣的未來是否總有一天會來臨呢？
MID_EIRIK_HOME2: 我在原本的世界裡，\n總是受到哥哥的幫助……\n……真是羞愧。
MID_EIRIK_HOME3: 是的，我不要緊。\n謝謝你總是如此關心我，\n你真是體貼呢……
MID_EIRIK_HOME4: 你原本所在的國家，\n一樣有戰爭嗎？\n或者是個和平的國度呢？
MID_EIRIK_HOME5: 我剛剛在練習揮劍。\n要是不每天鍛鍊的話，\n就要捱哥哥的罵了。
MID_EIRIK_FRIEND: 我代替$Nf殿下\n前來向您致意。\n請務必跟他和睦相處。
MID_EIRIK_LEVEL1: 哥哥，\n你有在關注我嗎……？
MID_EIRIK_LEVEL2: 這要感謝哥哥\n平常的鍛鍊吧。
MID_EIRIK_LEVEL3: 要被哥哥\n斥責了……
MID_EIRIK_SKILL: 我原本不足的地方……\n是否已經補強了呢？
MID_EIRIK_JOIN: 我叫做艾莉可。\n我不喜歡爭鬥，不過……\n我會努力助你一臂之力。
MID_EIRIK_STRONGEST: 我變強了，是嗎……？\n能得到你的認同，\n我也很開心。$k$p我爸爸和哥哥……\n經常稱讚我是個善良的孩子。\n可是，有些事物……光靠善良是保護不了的。$k$p善良就是弱小……\n只有善良的話，會遭人欺凌……\n就連想守護的人也守護不了……$k$p所以我要變強……\n在此同時，我也想保有替人著想的\n善良之心……這就是我的期望。$k$p我之所以能達成心願……\n一定是因為有你在。\n今後請讓我回報你吧。
MID_EIRIK_VOICE01: 嘿！
MID_EIRIK_VOICE02: 呀！
MID_EIRIK_VOICE03: 呀啊～！
MID_EIRIK_VOICE04: 怎麼會……
MID_EIRIK_VOICE05: 先發制人！
MID_EIRIK_VOICE06: 非戰鬥不可！
MID_EIRIK_VOICE07: 我饒不了你！
MID_EIRIK_VOICE08: 這就是戰爭……
MID_EIRIK_VOICE09: 哥哥……
MID_EIRIK_VOICE10: 呵呵！
MID_EIRIK_VOICE11: 謝謝你這番體貼的話語。
MID_EIRIK_VOICE12: 呀！？討、討厭……我要生氣囉！
MID_EIRIK_VOICE13: 如果能和平解決紛爭，那是再好不過的了……
MID_EIRIK_VOICE14: 可以請你陪我練習劍術嗎？
MID_EIRIK_VOICE15: 真是不可思議呢。只要跟你在一起……心裡就會暖洋洋的。
MID_EIRIK_VOICE16: 哥哥和利昂以前談論過的……那樣的未來……
MID_EIRIK_VOICE17: 拜託……請你不要一走了之。
MID_EIRIK_VOICE18: 是。
MID_EIRIK_VOICE19: 拜託你了。
MID_EIRIK_VOICE20: 我們走吧！
