[Heroes Archive] (CYAS)


Heroes Message Name: Message


MID_CYAS_HOME1: 即使這個國家看似和平，\n吹拂的風也同樣散發著鬥爭的氣息。\n真是可悲呀……
MID_CYAS_HOME2: 雖然大家推崇我為軍師什麼的，\n但我並不是什麼厲害的人物，\n只是比較注重細枝末節罷了。
MID_CYAS_HOME3: 跟往常一樣在巡邏嗎？辛苦了。\n掌握狀況是軍事戰略的第一步，\n請務必確實執行。
MID_CYAS_HOME4: 哎呀？你一副愁眉苦臉的樣子。\n我也算是個聖職者，\n有事隨時可以找我談談。
MID_CYAS_HOME5: 我稍微逛了一下書庫。\n不愧是歷史悠久的國家，\n藏書多得令人感到暈眩啊。
MID_CYAS_FRIEND: 我替$Nf捎來問候，\n願神保佑你。
MID_CYAS_LEVEL1: 布拉吉神啊，感謝您。
MID_CYAS_LEVEL2: 願神也保佑你。
MID_CYAS_LEVEL3: 都是我應對無方……
MID_CYAS_SKILL: 得到了這樣的力量……\n我會努力不違背你的期待。
MID_CYAS_JOIN: 我是貝爾特瑪的賽亞斯。\n若此為布拉吉神的指引，\n就讓我為你盡份微薄之力吧。
MID_CYAS_STRONGEST: 你好，近來如何？\n話說回來，你的眼神真不可思議呢，\n彷彿從遠方眺望著我們一般……$k$p……你說自己只是個平凡人？\n哎呀，凡夫俗子是不會說自己平凡的。$k$p至於我嘛……\n我確實擁有遺傳自血脈的才能，\n當然我也有付出了相對的努力。$k$p不過，這血脈實在是個麻煩的東西……\n同時也讓我無緣度過安穩的人生。\n尤其是我的母親……嗯，總之……$k$p只要你沒有背離正道，\n我的知識與才能就會與你同在，\n我以刻劃在我身上的炎之聖痕發誓。
MID_CYAS_VOICE01: 喝！
MID_CYAS_VOICE02: 嘿！
MID_CYAS_VOICE03: 嗚啊啊！
MID_CYAS_VOICE04: 了不起……
MID_CYAS_VOICE05: 一切皆是必然。
MID_CYAS_VOICE06: 停手吧……
MID_CYAS_VOICE07: 憑你是辦不到的。
MID_CYAS_VOICE08: 用我的計策……
MID_CYAS_VOICE09: 仕方…ありません…
MID_CYAS_VOICE10: ふっ
MID_CYAS_VOICE11: 残念ですが、私の素性については何も申せません。
MID_CYAS_VOICE12: ！？　あなたは風変わりな方です。
MID_CYAS_VOICE13: 一頭の竜に率いられた千頭の天馬は、一頭の天馬に率いられた千頭の竜に勝る…
MID_CYAS_VOICE14: 英雄たちは竜…そしてあなたもまた、竜といえるでしょう。
MID_CYAS_VOICE15: ユリウス殿下は心優しいお方でした。ですが、ある日を境に…
MID_CYAS_VOICE16: 私はファラの血を引く者…生きなければならない…
MID_CYAS_VOICE17: あなたを置いて去るのは心苦しい…ですからもう少し、お付き合い致します。
MID_CYAS_VOICE18: はい
MID_CYAS_VOICE19: どうしましょうか？
MID_CYAS_VOICE20: あなたの策を
