[Heroes Archive] (LUTE)


Heroes Message Name: Message


MID_LUTE_HOME1: 你也是魔道士吧？\n那麼，在分出誰比較優秀之前，\n你我都是勁敵。
MID_LUTE_HOME2: 雖然在路奈斯時的研究時光很充實，\n但這個世界的魔道也讓我很感興趣。
MID_LUTE_HOME3: 你看起來很累，是因為連日奮戰吧。\n我推薦你服用《千種香草大全書》中\n第320頁的香草。
MID_LUTE_HOME4: 請問有什麼事？\n對我的要求可分類為7大類25項。
MID_LUTE_HOME5: 在解讀完《納札尼亞的魔書》\n第五部之後，我今天必須出發\n去採集這個世界的藥草……
MID_LUTE_FRIEND: 我叫做盧特，是擁有優異才能的魔道士。\n即使是$Nf委託的問候，\n對優秀的我來說也是易如反掌。
MID_LUTE_LEVEL1: 偶然的幸運在機率來說\n是很自然的現象。
MID_LUTE_LEVEL2: 這算是當然的結果吧。\n因為我很優秀啊。
MID_LUTE_LEVEL3: 偶然的霉運在機率來說\n是很自然的現象。
MID_LUTE_SKILL: 優秀的我似乎變得\n更為優秀了。
MID_LUTE_JOIN: 我叫做盧特。如果你要的是最強的戰力，\n那麼現在可說是如願以償了。\n因為我很優秀啊。
MID_LUTE_STRONGEST: $Nu……\n請看這本日記。\n自從我被你召喚的那一天起……$k$p我每天都毫不間斷地觀察你，\n寫成了$Nu觀察日記。$k$p早上的$Nu，\n下午的$Nu，\n以及晚上的$Nu……$k$p嗯、嗯，原來如此……\n……抱歉，\n一不小心就讀到入迷了。$k$p我一開始是為了尋找會威脅到\n我優秀地位的敵人的弱點……\n但現在卻不會這樣想了。$k$p真是不可思議……\n我開始想要一直觀察你下去了……$k$p……順帶一提，觀察也將持續下去，\n請你不要在意。
MID_LUTE_VOICE01: 我要上了。
MID_LUTE_VOICE02: 因為我很優秀。
MID_LUTE_VOICE03: 呀啊～！
MID_LUTE_VOICE04: 我……還沒……
MID_LUTE_VOICE05: 因為我很優秀啊。
MID_LUTE_VOICE06: 以愛殲滅你。
MID_LUTE_VOICE07: 你很危險。
MID_LUTE_VOICE08: 似乎戰勝了。
MID_LUTE_VOICE09: 我還……不想死……
MID_LUTE_VOICE10: 呵、呵、呵。
MID_LUTE_VOICE11: 我叫做盧特。是天賦異稟的稀世魔道士。
MID_LUTE_VOICE12: 狀況不錯，大約是第48階第14級的程度。
MID_LUTE_VOICE13: 就我來說，你很新奇。看來應該是人類呢。
MID_LUTE_VOICE14: 你想和我說話？我認為這既無建設性，也不具重要的戰略意義。
MID_LUTE_VOICE15: 太危險了。你或許會威脅到我的優秀地位。
MID_LUTE_VOICE16: 關於戀愛的文獻……我少有涉獵。
MID_LUTE_VOICE17: 你和我應該在一起才對。因為我們都很優秀。
MID_LUTE_VOICE18: 是的。
MID_LUTE_VOICE19: 你想怎麼做？
MID_LUTE_VOICE20: 請開始吧。
