[Heroes Archive] (RUTHEA)


Heroes Message Name: Message


MID_RUTHEA_HOME1: 這個國家是如此豐饒……\n人民看起來也很幸福。\n無家可歸的孩子想必也不多吧……
MID_RUTHEA_HOME2: 我想您應該已經知道了，\n但還是跟您說一聲……\n我是男的，並不是修女……
MID_RUTHEA_HOME3: 我是瑞蒙大人……\n是瑞文大人的屬下。\n我非常擔心大人的安危。
MID_RUTHEA_HOME4: 我能用這把法杖……\n為夥伴療傷，\n同時也能以此攻擊敵人。
MID_RUTHEA_HOME5: ……抱……抱歉……\n我……我沒事。\n舊疾發作……馬上就會好……
MID_RUTHEA_FRIEND: 您是$Nu殿下吧。\n我受$Nf殿下之託，\n前來向您致意。
MID_RUTHEA_LEVEL1: 這樣的成長對我來說\n似乎太浪費了……
MID_RUTHEA_LEVEL2: 身體狀況很好。\n應該可以幫上大家的忙……
MID_RUTHEA_LEVEL3: 我必須……\n變得更強才行……
MID_RUTHEA_SKILL: 我的身心都變得\n更加堅強了嗎……？
MID_RUTHEA_JOIN: 我是魯塞亞。\n我會醫治傷病患者，\n希望能助各位一臂之力。
MID_RUTHEA_STRONGEST: 因為是您……我才願意說出來。\n我從小就患有心疾。$k$p在孤兒院時有許多辛酸的經歷……\n只要想起當時的事情，\n到現在舊疾還是會發作……$k$p很抱歉。不曉得會不會因此而嚇到您……\n我就是因為擔心這點，\n所以才一直不敢告訴您。$k$p不過，我已經下定決心了，\n要把一切都告訴您。\n即使您會因此而討厭我……$k$p如果您仍願意將我視為夥伴……\n今後還請您多多關照。
MID_RUTHEA_VOICE01: 喝！
MID_RUTHEA_VOICE02: 嘿！
MID_RUTHEA_VOICE03: 嗚啊～！
MID_RUTHEA_VOICE04: 怎麼會……
MID_RUTHEA_VOICE05: 我這汙穢之身……
MID_RUTHEA_VOICE06: 消弭痛苦……
MID_RUTHEA_VOICE07: 為信仰而戰……
MID_RUTHEA_VOICE08: 腥紅……之手……
MID_RUTHEA_VOICE09: 願聖光……照耀……
MID_RUTHEA_VOICE10: 呵呵。
MID_RUTHEA_VOICE11: 將神的指引……
MID_RUTHEA_VOICE12: 讓我為您治療……
MID_RUTHEA_VOICE13: 呃，請問有什麼事嗎？
MID_RUTHEA_VOICE14: 呃……我是男的……
MID_RUTHEA_VOICE15: 都是這副外表，害我經常被人捉弄……
MID_RUTHEA_VOICE16: 我的心靈不夠堅強……很抱歉。
MID_RUTHEA_VOICE17: 願你的煩惱能夠化解……
MID_RUTHEA_VOICE18: 是。
MID_RUTHEA_VOICE19: 我們該怎麼做……？
MID_RUTHEA_VOICE20: 走吧。
