[Heroes Archive] (FIN)


Heroes Message Name: Message


MID_FIN_HOME1: 這裡是統御不同時空之處……\n沒想到我會以這樣的形式與那位人物相見……
MID_FIN_HOME2: 我曾有幸遇到一位優秀的主君，\n我也以自豪的忠誠侍奉他。\n可卻總在最關鍵的戰鬥中……
MID_FIN_HOME3: 你總是這樣巡邏城內嗎？\n關懷大家是很重要，\n但也別忘了讓自己休息。
MID_FIN_HOME4: 有時間的話，想請你帶我參觀城堡。\n以便之後發生緊急狀況時，\n可以在第一時間協助你。
MID_FIN_HOME5: 我剛才在做槍的保養。\n這是主君所授予我的槍……\n也是我忠誠的證明。
MID_FIN_FRIEND: 我是芬恩，\n替$Nf傳遞問候而來。
MID_FIN_LEVEL1: 我會發揮出不愧對這把槍的實力。
MID_FIN_LEVEL2: 所謂實力，是日積月累的成果。
MID_FIN_LEVEL3: 我就到此為止了嗎……
MID_FIN_SKILL: 請讓我對你致上衷心的感謝。\n我會在戰場上提槍奮戰以回報恩情。
MID_FIN_JOIN: 我是倫斯特的槍騎士芬恩。\n我對這把槍發誓，\n必定要助你一臂之力。
MID_FIN_STRONGEST: $Nu，\n能與你一同走到這裡，\n我想衷心向你道謝。$k$p身為一名騎士，\n為主君在戰場上作戰不僅是義務，\n也是驕傲。$k$p我在原本的世界有位優秀的主君，\n能夠服侍他讓我十分光榮……\n但同時……$k$p……雖說是遵守命令，\n但沒能出征戰場便失去主君的事實，\n讓我到現在依然非常懊悔……$k$p所以，這次的戰鬥，\n我會與你一同戰到最後，\n我以這把槍向你發誓。
MID_FIN_VOICE01: 喝！
MID_FIN_VOICE02: 嘿！
MID_FIN_VOICE03: 嗚啊啊！
MID_FIN_VOICE04: 區區的疼痛……！
MID_FIN_VOICE05: 死守到底！
MID_FIN_VOICE06: 身為騎士！
MID_FIN_VOICE07: 為了祖國！
MID_FIN_VOICE08: 我不畏懼死亡！
MID_FIN_VOICE09: リーフ様…どうか…
MID_FIN_VOICE10: ふふ
MID_FIN_VOICE11: リーフ様はご無事だろうか…？
MID_FIN_VOICE12: ！？　すまない、考え事をしていた。
MID_FIN_VOICE13: 祖国が落ちてから…涙は枯れてしまったようだ…
MID_FIN_VOICE14: リーフ様さえいてくだされば、いつの日か必ず祖国は蘇る…
MID_FIN_VOICE15: この命にかえても、私はリーフ様を…
MID_FIN_VOICE16: キュアン様…私は…
MID_FIN_VOICE17: 私の命をお預けする。どうか、リーフ様のお力に…
MID_FIN_VOICE18: わかった
MID_FIN_VOICE19: どうすべきか…？
MID_FIN_VOICE20: 急ごう
