[Heroes Archive] (HAWKEYE)


Heroes Message Name: Message


MID_HAWKEYE_HOME1: 我は砂漠に住まう者。\nこのような場所には…\n馴染みがない…
MID_HAWKEYE_HOME2: 召喚か…我に魔道はわからぬ。\nだが、気をつけることだ。\n強大な力は人を狂わせる…
MID_HAWKEYE_HOME3: …お前には、感謝している。\n…それだけは、伝えておこう。
MID_HAWKEYE_HOME4: お前は戦い手ではない。\nだが、英雄との戦に挑むお前の心は、\nまるで獣のように力強く、猛々しい。
MID_HAWKEYE_HOME5: 砂漠の守護者は\n孤独であらんとするもの。\nあまり人とは関わらぬ…すまぬな…
MID_HAWKEYE_FRIEND: そなたが$Nuか。\n$Nfにかわり、\n友好の挨拶に来た…
MID_HAWKEYE_LEVEL1: おおおおおおおおおぉぉ！
MID_HAWKEYE_LEVEL2: 我が力が\n増していくようだ…
MID_HAWKEYE_LEVEL3: 我の死期は…\n近いのか…
MID_HAWKEYE_SKILL: 感謝しよう…\n我は新たな力を得た。
MID_HAWKEYE_JOIN: 我はホークアイ。\nナバタ砂漠の奥、竜の里に住む者だ。\n砂漠の守護者とも呼ばれている…
MID_HAWKEYE_STRONGEST: 我と話がしたい…か。\nお前はつくづく変わり者だ…$k$pなに、我ほどではないと…？\nふむ…そうか…$k$p確かに我は砂漠に生きる者…\nここにいる者たちと比べれば\n変わり者かもしれぬな…$k$pだが…世界の平穏を\n守りたいと思う心は皆と同じ…$k$p我らの悠久の黄砂と同じく\nそれはいついかなる時も変わらぬもの…\n約束しよう。
MID_HAWKEYE_VOICE01: むんっ！
MID_HAWKEYE_VOICE02: ふんっ！
MID_HAWKEYE_VOICE03: うああっ！
MID_HAWKEYE_VOICE04: むぅっ…！
MID_HAWKEYE_VOICE05: ぅおおおおおおおおぉぉ！
MID_HAWKEYE_VOICE06: ただ戦うのみ
MID_HAWKEYE_VOICE07: 我は恐れぬ
MID_HAWKEYE_VOICE08: 戦を始める…
MID_HAWKEYE_VOICE09: 帰れぬ…か…
MID_HAWKEYE_VOICE10: ふっ
MID_HAWKEYE_VOICE11: 我に話か？
MID_HAWKEYE_VOICE12: …我には、わからん
MID_HAWKEYE_VOICE13: 我は使命を全うするのみ…
MID_HAWKEYE_VOICE14: 我は【砂漠の守護者】
MID_HAWKEYE_VOICE15: おまえは、不思議だ
MID_HAWKEYE_VOICE16: 我の死期は、近い…
MID_HAWKEYE_VOICE17: …我は、おまえを信じている
MID_HAWKEYE_VOICE18: うむ
MID_HAWKEYE_VOICE19: はて…
MID_HAWKEYE_VOICE20: 承知
