[Heroes Archive] (MARICA)


Heroes Message Name: Message


MID_MARICA_HOME1: 好乾燥的風……\n這令我想起了賈哈納的沙漠。
MID_MARICA_HOME2: 隊長、還有傭兵團的大家……\n不知道現在過得好不好……
MID_MARICA_HOME3: 你的手……都長繭了。\n你武器的握法不對，\n先把鞣過的皮革捲好吧。
MID_MARICA_HOME4: 我……除了劍術以外沒有任何才能。\n請在想跟我交手的時候來找我吧。
MID_MARICA_HOME5: ……有什麼要事嗎？\n不然你這樣盯著我看，\n會害我心神不寧。
MID_MARICA_FRIEND: 是$Nu嗎？\n這是$Nf給你的。
MID_MARICA_LEVEL1: 感覺還不賴。\n不過離劍術的極致，\n還有很長的路要走呢。
MID_MARICA_LEVEL2: 不好也不壞……\n和我所追求的還差得遠呢。
MID_MARICA_LEVEL3: 不能讓隊長看見我這狼狽的樣子……\n
MID_MARICA_SKILL: 新的招式啊……\n不知道這樣是否離父親的劍術更近一點了呢？
MID_MARICA_JOIN: 我叫做瑪莉卡，\n是吉斯特傭兵團的劍士。\n當你需要時，我的劍會助你一臂之力。
MID_MARICA_STRONGEST: ……雖然已習慣在你的注視下進行訓練，\n但我實在不懂像這樣\n單單看著我練劍到底哪裡有趣。$k$p至今我每天揮劍一萬次，\n也與逾千人交過手。\n全都是為了戰勝敵人、戰勝自己。$k$p所謂戰鬥只有一次機會。\n更不是互相切磋那種簡單的訓練。\n勝敗分明……多麼殘酷的事。$k$p我不知道你的最終目標是什麼，\n但總有那麼一天，\n你也得和自己戰鬥。$k$p到那時，你唯一能依靠的只有自己。\n所以$Nu，繼續變強吧。\n直到你登峰造極那天為止。
MID_MARICA_VOICE01: 呵！
MID_MARICA_VOICE02: ……斬。
MID_MARICA_VOICE03: 呀啊～！
MID_MARICA_VOICE04: 受傷了……
MID_MARICA_VOICE05: 只要一瞬間就可以。
MID_MARICA_VOICE06: 我要拿出真本事了！
MID_MARICA_VOICE07: 馬上斬斷！
MID_MARICA_VOICE08: 賭上我的性命！
MID_MARICA_VOICE09: 我……輸了……
MID_MARICA_VOICE10: 呼……
MID_MARICA_VOICE11: 瑪莉卡……是……我的名字。
MID_MARICA_VOICE12: ……！？……想偷襲我只是白費工夫。
MID_MARICA_VOICE13: 沒事。我沒有生氣……我平常就是這樣。
MID_MARICA_VOICE14: 我想聊些什麼……我不討厭聊天，如果對象是你的話。
MID_MARICA_VOICE15: 我做什麼事情會讓你……開心呢？
MID_MARICA_VOICE16: ……人若死去一切也就結束了。因此，我必須要奮力戰鬥。
MID_MARICA_VOICE17: 如果你能幫我……的話，我會更加努力回報的。
MID_MARICA_VOICE18: 好。
MID_MARICA_VOICE19: ……我該斬誰呢？
MID_MARICA_VOICE20: ……上吧。
