[Heroes Archive] (LEAN)


Heroes Message Name: Message


MID_LEAN_HOME1: 今天該去市場看看嗎？\n我必須了解這裡居民的喜好，\n把它們編進舞蹈裡才行。
MID_LEAN_HOME2: 我的舞蹈能讓觀賞的人打起精神，\n這點在這個世界似乎也沒變呢。
MID_LEAN_HOME3: $Nu！\n你總是很早起耶，佩服、佩服。\n我陪你一起巡視吧！
MID_LEAN_HOME4: 舞孃的外表也很重要。要穿好看的衣服，\n總是打扮得漂漂亮亮的才行。\n所以呀，陪我一起去買東西吧？
MID_LEAN_HOME5: $Nu，怎麼啦？\n看我看得這麼入迷……\n呵呵呵，我的打扮是不是太刺激啦？
MID_LEAN_FRIEND: 初次見面，我是琳恩，\n從$Nf的城堡\n過來的。請多指教！
MID_LEAN_LEVEL1: 最佳狀態！\n今天我身體的靈活度可是跟平常不同唷！
MID_LEAN_LEVEL2: 感覺好像就跟平常一樣？\n保持平常心、平常心……
MID_LEAN_LEVEL3: 唔～好像不太對，\n是不是昨晚玩得太過頭了……
MID_LEAN_SKILL: 啊，總覺得身體好輕盈！\n好想趕快給你看看我剛想到的動作跟舞步！
MID_LEAN_JOIN: 初次見面，我叫琳恩。\n我是阿古斯特里亞首屈一指的舞孃唷！\n就讓我獻上一段舞蹈代替自我介紹吧。
MID_LEAN_STRONGEST: 那麼，今天要穿什麼顏色的服裝呢？\n腮紅跟唇妝畫深色一點……\n啊，$Nu，怎麼啦？$k$p你說看到我這樣，就感覺不像在戰爭中？\n因為呀～如果我穿得又破又皺，\n跳起舞來也沒有人會開心吧？$k$p我不是戰士，是舞孃。\n我想穿著漂亮的服裝跳舞，\n為觀眾帶來夢境般的感受……$k$p希望能讓大家暫時忘記\n戰爭時遇到的悲痛……\n這才是我的工作，不是嗎？$k$p所以呀，$Nu也是，\n要是對戰鬥感到疲憊，就來看我跳舞吧！\n到時候，我會只為你跳舞的！
MID_LEAN_VOICE01: 嘿！
MID_LEAN_VOICE02: 接招！
MID_LEAN_VOICE03: 呀啊啊！
MID_LEAN_VOICE04: 不行！
MID_LEAN_VOICE05: 我不管了！
MID_LEAN_VOICE06: 真失禮！
MID_LEAN_VOICE07: 隨你高興吧！
MID_LEAN_VOICE08: 笨蛋！
MID_LEAN_VOICE09: ごめん…ね…
MID_LEAN_VOICE10: ふふっ
MID_LEAN_VOICE11: 見せてあげる
MID_LEAN_VOICE12: 元気になってね
MID_LEAN_VOICE13: どうしたの？　踊り子の衣装が珍しいの？
MID_LEAN_VOICE14: ひゃっ！？　もう、踊りの邪魔しないで。
MID_LEAN_VOICE15: いやらしい男達の前で踊るのはイヤだけど、あなたなら平気よ。
MID_LEAN_VOICE16: 母様に会いたくて…だから、恥ずかしいけど、踊り子になったの。
MID_LEAN_VOICE17: 一人はいやなの。お願い、どこにも行かないで…
MID_LEAN_VOICE18: うん
MID_LEAN_VOICE19: あたしの番？
MID_LEAN_VOICE20: 見守っててね
