[Heroes Archive] (EIRIK_LEGEND01)


Heroes Message Name: Message


MID_EIRIK_LEGEND01_HOME1: 我有變強了嗎？\n不僅是被守護，我也有……\n能夠保護他人的力量了嗎？
MID_EIRIK_LEGEND01_HOME2: 儘管並非出自本意，經過不斷戰鬥，\n我的劍術似乎也自然而然地受到了磨鍊。\n雖然還遠遠不及哥哥跟賽特……
MID_EIRIK_LEGEND01_HOME3: 您真是位不可思議的人呢。\n每天都有一些不同的改變，沒錯，\n簡直就像星光一樣難以捉摸……
MID_EIRIK_LEGEND01_HOME4: $Nu拿的那本書\n設計得真棒。待會可以借我看看嗎？
MID_EIRIK_LEGEND01_HOME5: 揮劍練習與姿勢固然重要，\n但在緊要關頭時，實戰經驗更不可或缺！\n如果您不介意，由我來陪您練習吧。
MID_EIRIK_LEGEND01_FRIEND: 您就是$Nu殿下……\n很常從$Nf那裡\n聽說您的事呢。
MID_EIRIK_LEGEND01_LEVEL1: 請放心。\n我絕對不會讓敵人靠近您的！
MID_EIRIK_LEGEND01_LEVEL2: 不可因此自滿。\n必須再加強鍛鍊。
MID_EIRIK_LEGEND01_LEVEL3: 我必須變強……必須變得更強才行……
MID_EIRIK_LEGEND01_SKILL: 非常感謝。\n有這份力量，就不會再失去任何人了……
MID_EIRIK_LEGEND01_JOIN: 我是路奈斯王國的公主艾莉可。\n為了不負英雄之名，\n我絕對會好好保護您。
MID_EIRIK_LEGEND01_STRONGEST: 啊，$Nu……\n如果您不介意的話，\n一起在此稍作休息如何？$k$p經過連日征戰，您一定很疲累吧？\n只要閉上眼睛、坐在這裡……\n就可以令人感到心神寧靜。$k$p……我……討厭戰爭。\n不想看見人們爭鬥受傷的樣子。\n但若只是期盼，什麼都改變不了……$k$p在那時我明白到……\n沒有力量，就無法保護重要的事物。\n所以我發誓一定要變得更強。$k$p$Nu，\n……您也有一樣的想法呢。\n非常感謝您。$k$p只有一下子也好……\n就這樣陪在我身邊好嗎？
MID_EIRIK_LEGEND01_VOICE01: 看招！
MID_EIRIK_LEGEND01_VOICE02: 我要上了！
MID_EIRIK_LEGEND01_VOICE03: 呀啊啊啊！
MID_EIRIK_LEGEND01_VOICE04: 不可以……
MID_EIRIK_LEGEND01_VOICE05: 我不會再迷惘了！
MID_EIRIK_LEGEND01_VOICE06: 請覺悟吧！
MID_EIRIK_LEGEND01_VOICE07: 勇往向前！
MID_EIRIK_LEGEND01_VOICE08: 不能再躊躇不前……
MID_EIRIK_LEGEND01_VOICE09: ああ……兄…上…
MID_EIRIK_LEGEND01_VOICE10: うふふ
MID_EIRIK_LEGEND01_VOICE11: ルネス王女エイリークと申します。　え？　伝承の英雄…ですか？
MID_EIRIK_LEGEND01_VOICE12: きゃっ！？　も、もう…あなたという人は…
MID_EIRIK_LEGEND01_VOICE13: 私は何も知らない、弱い王女でした…でも、変わりたいのです。
MID_EIRIK_LEGEND01_VOICE14: 戦いが終わった後も…民たちの笑顔のために尽くしたいです。
MID_EIRIK_LEGEND01_VOICE15: 世間知らずの私に…色々教えてくださいませんか？
MID_EIRIK_LEGEND01_VOICE16: 悲しみを乗り越える…それも、強さなのでしょうか…
MID_EIRIK_LEGEND01_VOICE17: これからもずっと…あなたのお傍にいさせてください…
MID_EIRIK_LEGEND01_VOICE18: わかりました
MID_EIRIK_LEGEND01_VOICE19: あなたのお力に
MID_EIRIK_LEGEND01_VOICE20: 信じています…
