[Heroes Archive] (YURIUS)


Heroes Message Name: Message


MID_YURIUS_HOME1: 呿，尤莉亞那傢伙……\n別用那種眼神看我！\n真討人厭，給我滾一邊去！
MID_YURIUS_HOME2: 你問我為什麼要擒捉小孩？\n我只是對人民施行適當的教育而已。\n沒錯，對優秀且被選上的人們……
MID_YURIUS_HOME3: 你經常觀察大家呢。\n是在尋找叛徒嗎……？\n呵呵呵……開玩笑的，開玩笑的啦。
MID_YURIUS_HOME4: 吶，要不要跟我一起玩？\n你看，我們就在那個花園裡\n看看花朵、踩踩蟲子呀！
MID_YURIUS_HOME5: 別讓我感到太無聊喔！\n要是我精力有餘，\n說不定會不小心毀了這座城堡。
MID_YURIUS_FRIEND: 嗨，我是尤利烏斯。\n都要怪$Nf，\n我才會來到這種無聊的地方。
MID_YURIUS_LEVEL1: 哈哈哈！\n感覺接下來會變得更加有趣呢！
MID_YURIUS_LEVEL2: 馬馬虎虎……只能說還行吧。
MID_YURIUS_LEVEL3: ……真無趣。
MID_YURIUS_SKILL: 你很了解力量的使用方式嘛。\n我會心懷感激地使用它的。
MID_YURIUS_JOIN: 我是尤利烏斯，格蘭貝魯帝國的皇子。\n這裡感覺是個很熱鬧的地方呢！\n呵呵呵……應該不會覺得無聊了。
MID_YURIUS_STRONGEST: 唉呀，$Nu。\n你好像很致力於殺戮，真是太好了。\n下次你要打倒誰？要破壞什麼呢？$k$p你說你並不是因為喜歡才戰鬥的？\n不不，沒有必要說謊呀。\n你應該打從心底享受著戰鬥吧？$k$p人們總是靠著打倒與掠奪他人來生存，\n無法戰鬥的人一點生存價值也沒有。\n沒錯吧？$k$p咦？不是這樣？\n你說「人的溫柔」……？\n那種騙人的話你竟然還說得出口……$k$p算了，你終究會明白的。\n戰爭的盡頭到底有什麼……\n我很期待那一刻的到來，呵呵呵……
MID_YURIUS_VOICE01: 哼……
MID_YURIUS_VOICE02: 受死吧。
MID_YURIUS_VOICE03: 唔啊啊！
MID_YURIUS_VOICE04: 什麼……
MID_YURIUS_VOICE05: 墮入絕望吧！
MID_YURIUS_VOICE06: 不是我的對手。
MID_YURIUS_VOICE07: 必須殺了你。
MID_YURIUS_VOICE08: 這是血祭。
MID_YURIUS_VOICE09: ぐ…おぉぉぉっ！
MID_YURIUS_VOICE10: ふっ
MID_YURIUS_VOICE11: セリスは光の皇子…ふっ、そして私は闇の皇子というわけだ。
MID_YURIUS_VOICE12: ！？　私に悪ふざけとは、血迷ったか？
MID_YURIUS_VOICE13: ユリアは我が妹…そして我が宿敵。
MID_YURIUS_VOICE14: ラインハルト…奴は気に食わん。次に目の前に現れた時は殺す。
MID_YURIUS_VOICE15: くっ…頭が…痛む…！　私の邪魔をするな…！
MID_YURIUS_VOICE16: …私が優しかっただと？　ユリアめ、くだらぬことを…
MID_YURIUS_VOICE17: お前は生かしてやろう…今のところはな。
MID_YURIUS_VOICE18: いいぞ
MID_YURIUS_VOICE19: 何が望みだ？
MID_YURIUS_VOICE20: 遊ぶとしよう
