[Heroes Archive] (NINO2)


Heroes Message Name: Message


MID_NINO2_HOME1: 雖然剛開始有點怕，\n不過騎著飛馬飛在天上的感覺\n真的好不可思議！
MID_NINO2_HOME2: 我跟這匹飛馬感情能變得這麼好，\n都是芙羅利娜的功勞喔。\n芙羅利娜就像我的姐姐一樣溫柔……
MID_NINO2_HOME3: $Nu，\n平時總是辛苦你了。\n要不要休息一下呢？
MID_NINO2_HOME4: 我正在練習做菜。\n因為不多多嘗試就不會進步嘛，對不對？\n要不要幫我試試味道？
MID_NINO2_HOME5: 雖然我看不懂字，無法讀書，\n但是我可以跟精靈對話喔。\n只要跟精靈心意相通，就覺得很開心呢！
MID_NINO2_FRIEND: 我是妮諾，\n是$Nf吩咐我過來的。
MID_NINO2_LEVEL1: 聽得見精靈的聲音……\n我覺得自己現在什麼都辦得到！
MID_NINO2_LEVEL2: 這樣應該能多少幫上大家的忙吧？
MID_NINO2_LEVEL3: 難道我是大家的拖油瓶嗎……
MID_NINO2_SKILL: 謝謝你！\n我會為了你更加努力的。
MID_NINO2_JOIN: 我是妮諾！\n今後我會跟這匹飛馬一起加油，\n還請多多指教囉！
MID_NINO2_STRONGEST: 吶，$Nu，\n不只是你，\n這裡的每一個人都很溫柔呢。$k$p大家都願意拿出全力來幫助別人，\n而不是只想到自己……\n這樣的溫柔，讓我覺得大家都好堅強。$k$p我常常在想，\n要是那個時候的我也具備這份堅強……\n事情或許就不會變得那麼糟糕了。$k$p不過，過去是沒有辦法改變的，\n我得好好思考自己將來能做些什麼！\n所以，首先我打算從幫助身邊的人開始……$k$p要是你遇上什麼困難都可以跟我說喔。\n我會為了你好好加油的。\n我們約好囉！
MID_NINO2_VOICE01: 嘿！
MID_NINO2_VOICE02: 我會加油！
MID_NINO2_VOICE03: 呀啊啊！
MID_NINO2_VOICE04: 嗚嗚……
MID_NINO2_VOICE05: 我會讓一切結束！
MID_NINO2_VOICE06: 我絕對不要！
MID_NINO2_VOICE07: 對不起喔……
MID_NINO2_VOICE08: 馬兒飛吧！
MID_NINO2_VOICE09: 足手まといで…ごめんなさい…
MID_NINO2_VOICE10: えへへー
MID_NINO2_VOICE11: 羽がある馬はペガサスってゆーんだよ。知ってる？
MID_NINO2_VOICE12: ひゃあっ！？　もう、からかわないでー。
MID_NINO2_VOICE13: ペガサスで空飛ぶのって、ちょっと怖いけど、楽しい！
MID_NINO2_VOICE14: ロイドにいちゃんはかっこよくて、優しくて…あたしの自慢のにいちゃんなの！
MID_NINO2_VOICE15: ライナスにいちゃんは乱暴だけど、優しくて…あたしの自慢のにいちゃんだよ。
MID_NINO2_VOICE16: ロイドにいちゃん…ライナスにいちゃん…ごめんね…ごめんね…
MID_NINO2_VOICE17: あたしのこと、慰めてくれるの…？　ありがとう…
MID_NINO2_VOICE18: わかったよ
MID_NINO2_VOICE19: と、飛んで！
MID_NINO2_VOICE20: おっこちないように…
