[Heroes Archive] (FREEZE_MIKATA01)


Heroes Message Name: Message


MID_FREEZE_MIKATA01_HOME1: 這個國家的和平由你們守護著……\n那是如同寶石一般珍貴的存在。
MID_FREEZE_MIKATA01_HOME2: 多虧了你們，\n我們才能復興尼福爾王國。\n我絕對不會忘記你們的恩情。
MID_FREEZE_MIKATA01_HOME3: 最好稍作休息。\n疲勞會使判斷能力下降……\n由我來警戒週遭吧。
MID_FREEZE_MIKATA01_HOME4: 抱歉，我的個性比較一板一眼。\n要是至少能開個玩笑就好了……\n……很抱歉，看來我實在無能為力。
MID_FREEZE_MIKATA01_HOME5: 守護人民與妹妹們應該是我的責任，\n但我卻沒能盡到我的本份……\n這份失敗，我絕對無法忘記。
MID_FREEZE_MIKATA01_FRIEND: 我是尼福爾王國的第一王子佛利茲。\n是為了送$Nf\n的問候信而來。
MID_FREEZE_MIKATA01_LEVEL1: 這可以說是非常好的結果吧。
MID_FREEZE_MIKATA01_LEVEL2: 這該說是相當妥當的結果吧。
MID_FREEZE_MIKATA01_LEVEL3: 不得不說結果不是很好……
MID_FREEZE_MIKATA01_SKILL: 謝謝。\n為了守護眾人，我想要力量。
MID_FREEZE_MIKATA01_JOIN: 我是尼福爾王國的第一王子佛利茲。\n在此以尼福爾王族的身分起誓，\n我將成為你的力量。
MID_FREEZE_MIKATA01_STRONGEST: 尼福爾王國是友善的國家。\n不但熱愛和平，\n也希望與他國維繫友好的羈絆。$k$p然而，如同白雪般純粹的祖國，\n卻被穆斯貝爾侵略……\n一切都被掠奪殆盡了。$k$p冀望和平之心誠可貴……\n但對敵方而言卻成了絕佳的獵物。\n我切身體會到了這個道理。$k$p即使渴望和平……\n不，正因為渴望和平，\n才必須變得強大。$k$p我將成為守護國家與人民的劍。\n再也不會讓任何人奪走……
MID_FREEZE_MIKATA01_VOICE01: 喝！
MID_FREEZE_MIKATA01_VOICE02: 沒用的。
MID_FREEZE_MIKATA01_VOICE03: 唔啊啊！
MID_FREEZE_MIKATA01_VOICE04: 還沒結束……
MID_FREEZE_MIKATA01_VOICE05: 休想逃！
MID_FREEZE_MIKATA01_VOICE06: 不必對敵人仁慈。
MID_FREEZE_MIKATA01_VOICE07: 最後一擊！
MID_FREEZE_MIKATA01_VOICE08: 生命啊，凍結吧！
MID_FREEZE_MIKATA01_VOICE09: すまない…フィヨルム…
MID_FREEZE_MIKATA01_VOICE10: ふっ…
MID_FREEZE_MIKATA01_VOICE11: 私はフリーズ…ニフルの第一王子だ。
MID_FREEZE_MIKATA01_VOICE12: ？　すまない…あまりそういう挨拶には慣れていない
MID_FREEZE_MIKATA01_VOICE13: 私の祖国は一面の雪景色…だが、私はそれを美しいと思う。
MID_FREEZE_MIKATA01_VOICE14: 君の手は、温かいのだな…
MID_FREEZE_MIKATA01_VOICE15: 君は不思議な人だな…一緒にいると心が安らぐ
MID_FREEZE_MIKATA01_VOICE16: 祖国を守るのが私の務め…私はそれを果たせなかった…
MID_FREEZE_MIKATA01_VOICE17: 私は君に従う。私にできることはなんでも言って欲しい。
MID_FREEZE_MIKATA01_VOICE18: わかった
MID_FREEZE_MIKATA01_VOICE19: どうする、か…
MID_FREEZE_MIKATA01_VOICE20: 命令が欲しい
