[Heroes Archive] (NINIAN_BRIDE02)


Heroes Message Name: Message


MID_NINIAN_BRIDE02_HOME1: わたしが生まれる前…\nわたしの父と母も…\n結婚式をしたのでしょうか？
MID_NINIAN_BRIDE02_HOME2: 弟と旅をしていた頃、\n村で結婚式を見たことがありました。\nでも、まさか自分がこの服を着るなんて…
MID_NINIAN_BRIDE02_HOME3: 風習には詳しくないのですが、\nこの花嫁衣装で踊っても\n良いものなのでしょうか…？
MID_NINIAN_BRIDE02_HOME4: 婚礼では、男女は永遠の愛を誓って\n口づけをするのだとか…\nそれは、つまり…
MID_NINIAN_BRIDE02_HOME5: お疲れではありませんか？\nよろしければ、わたしの踊りを\nお見せ致します…
MID_NINIAN_BRIDE02_FRIEND: $Nf様からの\n手紙をお届けに参りました。\nすみません…こんな格好で…
MID_NINIAN_BRIDE02_LEVEL1: この力…\n大切なあの人のために…
MID_NINIAN_BRIDE02_LEVEL2: まわりの人も幸せにできるよう…\nがんばります。
MID_NINIAN_BRIDE02_LEVEL3: わたしにはこの衣装は\nふさわしくないのでしょうか…
MID_NINIAN_BRIDE02_SKILL: ありがとうございます…\n新しい力で、お役に立てるよう努めます。
MID_NINIAN_BRIDE02_JOIN: わたしはニニアンと申します。\n今は、花嫁のお祭りでこの格好を…\nお恥ずかしいです…
MID_NINIAN_BRIDE02_STRONGEST: …以前、立ち寄った村で\n結婚式を見たことがあります。\n男の人も女の人も、とても幸せそうで…$k$p女の人の笑顔で、\nわたしまで幸せな気持ちに\nなったことを覚えています。$k$pそのような、人としての幸せはわたしには…\nでも、このドレスを着ていると…\n少しの間…幸せな夢を見られそうです。$k$pえ？　そうですね…いつかわたしも…\n夢ではなく…本当にあんな笑顔に\nなれる日が来るのかもしれません…$k$pありがとうございます…\n$Nu様…
MID_NINIAN_BRIDE02_VOICE01: それっ
MID_NINIAN_BRIDE02_VOICE02: いきます
MID_NINIAN_BRIDE02_VOICE03: きゃああっ！
MID_NINIAN_BRIDE02_VOICE04: だめ…
MID_NINIAN_BRIDE02_VOICE05: これが、愛…
MID_NINIAN_BRIDE02_VOICE06: 共に生きたい
MID_NINIAN_BRIDE02_VOICE07: 叶わぬ想いでも
MID_NINIAN_BRIDE02_VOICE08: 誓います
MID_NINIAN_BRIDE02_VOICE09: ドレスが…破れて…
MID_NINIAN_BRIDE02_VOICE10: あの…
MID_NINIAN_BRIDE02_VOICE11: 尽くします
MID_NINIAN_BRIDE02_VOICE12: 妻のつとめです
MID_NINIAN_BRIDE02_VOICE13: きゃっ！？　え…ドレスの裾が…？
MID_NINIAN_BRIDE02_VOICE14: わたしがこんな格好…おかしくないでしょうか…？
MID_NINIAN_BRIDE02_VOICE15: え…？　似合って…ますか？　ありがとうございます。
MID_NINIAN_BRIDE02_VOICE16: 人と竜が結ばれる…いつか、そんな世界が…
MID_NINIAN_BRIDE02_VOICE17: 今は花嫁として…夫に尽くします。
MID_NINIAN_BRIDE02_VOICE18: はい、あなた…
MID_NINIAN_BRIDE02_VOICE19: どうか末永く
MID_NINIAN_BRIDE02_VOICE20: 幸せにしてください
